,Unnamed: 0,aspect,base_category,MAIN_CATEGORY
710,710,lifting things,boot / cargo,FUNCTIONAL / UTILITY FEATURES
711,711,detailing,design,EMOTIONAL / SENSORY / VISUAL
712,712,wooden effect,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
713,713,rear suspension,suspension,HANDLING / DYNAMICS
714,714,agility switch,driving dynamics / handling,HANDLING / DYNAMICS
715,715,rs7,model / generic car terms,GENERAL INFORMATION
716,716,boot light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
717,717,haptic feedback,driving dynamics / handling,HANDLING / DYNAMICS
718,718,reversing camera,driver assistance,SAFETY
719,719,shifting,transmission,POWERTRAIN / PERFORMANCE
720,720,curves,design,EMOTIONAL / SENSORY / VISUAL
721,721,exhaust tips,exhaust,POWERTRAIN / PERFORMANCE
722,722,charging panel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
723,723,windows down,windows / glass,EXTERIOR / STYLING / DESIGN
724,724,q7,model / generic car terms,GENERAL INFORMATION
725,725,four cylinder engine,engine / power train,POWERTRAIN / PERFORMANCE
726,726,shopping bag hookers,storage & utility,FUNCTIONAL / UTILITY FEATURES
727,727,headroom (people over six foot),passenger space,INTERIOR / COMFORT / ERGONOMICS
728,728,boot shape,boot / cargo,FUNCTIONAL / UTILITY FEATURES
729,729,understeer,steering,HANDLING / DYNAMICS
730,730,engine brace,engine / power train,POWERTRAIN / PERFORMANCE
731,731,well being spoiled recreation thing,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
732,732,finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
733,733,belt line,exterior materials & finish,EXTERIOR / STYLING / DESIGN
734,734,lobe,engine / power train,POWERTRAIN / PERFORMANCE
735,735,footstool,seats,INTERIOR / COMFORT / ERGONOMICS
736,736,virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
737,737,sports package,packages / trims / variants,GENERAL INFORMATION
738,738,r8,model / generic car terms,GENERAL INFORMATION
739,739,cylinder,engine / power train,POWERTRAIN / PERFORMANCE
740,740,a7,model / generic car terms,GENERAL INFORMATION
741,741,front grill,grill,EXTERIOR / STYLING / DESIGN
742,742,views,visibility & view,SAFETY
743,743,drive train flooring,drive,POWERTRAIN / PERFORMANCE
744,744,exhaust clip,exhaust,POWERTRAIN / PERFORMANCE
745,745,slow road,road terrain,HANDLING / DYNAMICS
746,746,seat release,seats,INTERIOR / COMFORT / ERGONOMICS
747,747,acceleration from stop,acceleration,POWERTRAIN / PERFORMANCE
748,748,emergency service,road terrain,HANDLING / DYNAMICS
749,749,formula,performance,POWERTRAIN / PERFORMANCE
750,750,power seats,seats,INTERIOR / COMFORT / ERGONOMICS
751,751,touchscreen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
752,752,stripe,design,EMOTIONAL / SENSORY / VISUAL
753,753,dit,engine / power train,POWERTRAIN / PERFORMANCE
754,754,display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
755,755,electrification,fuel / energy / charging,POWERTRAIN / PERFORMANCE
756,756,charging sockets,fuel / energy / charging,POWERTRAIN / PERFORMANCE
757,757,basic five series,packages / trims / variants,GENERAL INFORMATION
758,758,base car,model / generic car terms,GENERAL INFORMATION
759,759,feeling,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
760,760,rear wheel,drive,POWERTRAIN / PERFORMANCE
761,761,petrol models,fuel / energy / charging,POWERTRAIN / PERFORMANCE
762,762,refinement,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
763,763,c 220,model / generic car terms,GENERAL INFORMATION
764,764,settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
765,765,rear view camera,visibility & view,SAFETY
766,766,individual setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
767,767,adjustability,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
768,768,places,passenger space,INTERIOR / COMFORT / ERGONOMICS
769,769,flat upshift,transmission,POWERTRAIN / PERFORMANCE
770,770,reclining,seats,INTERIOR / COMFORT / ERGONOMICS
771,771,front brakes,brake,HANDLING / DYNAMICS
772,772,generation,packages / trims / variants,GENERAL INFORMATION
773,773,nets,storage & utility,FUNCTIONAL / UTILITY FEATURES
774,774,throttle response,engine / power train,POWERTRAIN / PERFORMANCE
775,775,sea level,road terrain,HANDLING / DYNAMICS
776,776,fuel economy,fuel / energy / charging,POWERTRAIN / PERFORMANCE
777,777,adaptive dampers,suspension,HANDLING / DYNAMICS
778,778,sport mode suspension,suspension,HANDLING / DYNAMICS
779,779,machine,generic description & miscellaneous,GENERAL INFORMATION
780,780,graphics screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
781,781,seating,seats,INTERIOR / COMFORT / ERGONOMICS
782,782,built in sundress holder,storage & utility,FUNCTIONAL / UTILITY FEATURES
783,783,going fast,acceleration,POWERTRAIN / PERFORMANCE
784,784,gearbox,transmission,POWERTRAIN / PERFORMANCE
785,785,cargo floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
786,786,roll bars,traction / stability,HANDLING / DYNAMICS
787,787,kids,passenger space,INTERIOR / COMFORT / ERGONOMICS
788,788,back camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
789,789,distance driving,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
790,790,mercedes a class,model / generic car terms,GENERAL INFORMATION
791,791,dynamic package,packages / trims / variants,GENERAL INFORMATION
792,792,launch time,acceleration,POWERTRAIN / PERFORMANCE
793,793,shifter,transmission,POWERTRAIN / PERFORMANCE
794,794,bumps,road terrain,HANDLING / DYNAMICS
795,795,lettering feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
796,796,set buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
797,797,mix and match settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
798,798,new look,design,EMOTIONAL / SENSORY / VISUAL
799,799,pedal,brake,HANDLING / DYNAMICS
800,800,travel,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
801,801,front doors,doors,EXTERIOR / STYLING / DESIGN
802,802,s tronic,transmission,POWERTRAIN / PERFORMANCE
803,803,"bmw 3 40 i , drive",drive,POWERTRAIN / PERFORMANCE
804,804,500e,model / generic car terms,GENERAL INFORMATION
805,805,mercedes-benz gcl,model / generic car terms,GENERAL INFORMATION
806,806,corner,cornering,HANDLING / DYNAMICS
807,807,bmw two series,model / generic car terms,GENERAL INFORMATION
808,808,cup holder,storage & utility,FUNCTIONAL / UTILITY FEATURES
809,809,quattro,drive,POWERTRAIN / PERFORMANCE
810,810,sl s amg,model / generic car terms,GENERAL INFORMATION
811,811,trade off,value / cost,DISTANCE / MEASUREMENT /  COST
812,812,energy harvesting,fuel / energy / charging,POWERTRAIN / PERFORMANCE
813,813,i drive,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
814,814,three adults in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
815,815,mercedes-benz g . l . a,model / generic car terms,GENERAL INFORMATION
816,816,pickup range,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
817,817,glc,model / generic car terms,GENERAL INFORMATION
818,818,overall,generic description & miscellaneous,GENERAL INFORMATION
819,819,ventilated seat option,seats,INTERIOR / COMFORT / ERGONOMICS
820,820,rs three,model / generic car terms,GENERAL INFORMATION
821,821,steering weight,weight,DISTANCE / MEASUREMENT /  COST
822,822,traditional sedan,body type,EXTERIOR / STYLING / DESIGN
823,823,-,unknown,UNKNOWN
824,824,cutout design,design,EMOTIONAL / SENSORY / VISUAL
825,825,battery size,fuel / energy / charging,POWERTRAIN / PERFORMANCE
826,826,phone spot,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
827,827,positioning of steering wheel,steering,HANDLING / DYNAMICS
828,828,stitched button,physical controls,INTERIOR / COMFORT / ERGONOMICS
829,829,audi rs4,model / generic car terms,GENERAL INFORMATION
830,830,audi,model / generic car terms,GENERAL INFORMATION
831,831,putting gear,transmission,POWERTRAIN / PERFORMANCE
832,832,acoustic windscreen,windscreen / wipers,SAFETY
833,833,door bin back,storage & utility,FUNCTIONAL / UTILITY FEATURES
834,834,four wheel drive traction,drive,POWERTRAIN / PERFORMANCE
835,835,tech display,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
836,836,dynamic damper control,suspension,HANDLING / DYNAMICS
837,837,upgraded command system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
838,838,premium plus package,packages / trims / variants,GENERAL INFORMATION
839,839,sitting position,seats,INTERIOR / COMFORT / ERGONOMICS
840,840,appearance,design,EMOTIONAL / SENSORY / VISUAL
841,841,stunning,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
842,842,construction technique,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
843,843,exhausts,exhaust,POWERTRAIN / PERFORMANCE
844,844,s c car,model / generic car terms,GENERAL INFORMATION
845,845,get in and out -back,doors,EXTERIOR / STYLING / DESIGN
846,846,character,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
847,847,1.6 litre petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
848,848,equipment,equipment,FUNCTIONAL / UTILITY FEATURES
849,849,material on the glove box,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
850,850,steering (sports),steering,HANDLING / DYNAMICS
851,851,gear selector,transmission,POWERTRAIN / PERFORMANCE
852,852,m6,model / generic car terms,GENERAL INFORMATION
853,853,19 inch wheels,wheels & tyres,HANDLING / DYNAMICS
854,854,a4  g5 seating,seats,INTERIOR / COMFORT / ERGONOMICS
855,855,force,performance,POWERTRAIN / PERFORMANCE
856,856,engine choice,engine / power train,POWERTRAIN / PERFORMANCE
857,857,engine mounts,engine / power train,POWERTRAIN / PERFORMANCE
858,858,image,design,EMOTIONAL / SENSORY / VISUAL
859,859,competion choices,packages / trims / variants,GENERAL INFORMATION
860,860,360 degree surround camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
861,861,tri color logo,exterior materials & finish,EXTERIOR / STYLING / DESIGN
862,862,wear,quality & durability,GENERAL INFORMATION
863,863,mercedes,model / generic car terms,GENERAL INFORMATION
864,864,mercedes s class coupe a8,model / generic car terms,GENERAL INFORMATION
865,865,proportions,design,EMOTIONAL / SENSORY / VISUAL
866,866,qualities,quality & durability,GENERAL INFORMATION
867,867,tt cornering,cornering,HANDLING / DYNAMICS
868,868,touch screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
869,869,get in back,doors,EXTERIOR / STYLING / DESIGN
870,870,engine choices,engine / power train,POWERTRAIN / PERFORMANCE
871,871,split gate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
872,872,place,passenger space,INTERIOR / COMFORT / ERGONOMICS
873,873,spend extra on adaptive suspension,value / cost,DISTANCE / MEASUREMENT /  COST
874,874,limit,performance,POWERTRAIN / PERFORMANCE
875,875,steering and lane controlled assistant,steering,HANDLING / DYNAMICS
876,876,cup holders,storage & utility,FUNCTIONAL / UTILITY FEATURES
877,877,normal comfort suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
878,878,instrument gearbox,transmission,POWERTRAIN / PERFORMANCE
879,879,safe,safety,SAFETY
880,880,gear changes,transmission,POWERTRAIN / PERFORMANCE
881,881,adaptive suspension,suspension,HANDLING / DYNAMICS
882,882,gear shift,transmission,POWERTRAIN / PERFORMANCE
883,883,trim (inside),interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
884,884,map view,visibility & view,SAFETY
885,885,seat pockets,storage & utility,FUNCTIONAL / UTILITY FEATURES
886,886,wing mirrors,mirrors,SAFETY
887,887,noise suppression,audio,EMOTIONAL / SENSORY / VISUAL
888,888,s5,model / generic car terms,GENERAL INFORMATION
889,889,bc imports,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
890,890,seat cover,seats,INTERIOR / COMFORT / ERGONOMICS
891,891,upshift,transmission,POWERTRAIN / PERFORMANCE
892,892,change direction,steering,HANDLING / DYNAMICS
893,893,anchor points,safety,SAFETY
894,894,sls,model / generic car terms,GENERAL INFORMATION
895,895,warning,safety,SAFETY
896,896,manoeuvring at low speed,steering,HANDLING / DYNAMICS
897,897,feet,passenger space,INTERIOR / COMFORT / ERGONOMICS
898,898,luxury items,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
899,899,magic sky roof,roof,EXTERIOR / STYLING / DESIGN
900,900,load bay,boot / cargo,FUNCTIONAL / UTILITY FEATURES
901,901,v 10 plus,model / generic car terms,GENERAL INFORMATION
902,902,boot opening,boot / cargo,FUNCTIONAL / UTILITY FEATURES
903,903,price tag,value / cost,DISTANCE / MEASUREMENT /  COST
904,904,tire,wheels & tyres,HANDLING / DYNAMICS
905,905,edition,packages / trims / variants,GENERAL INFORMATION
906,906,descent,road terrain,HANDLING / DYNAMICS
907,907,bmw 360 degree surround camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
908,908,fridge,storage & utility,FUNCTIONAL / UTILITY FEATURES
909,909,fold third row,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
910,910,charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
911,911,bonnet opening,bonnet,EXTERIOR / STYLING / DESIGN
912,912,bigger bumps,road terrain,HANDLING / DYNAMICS
913,913,practicality,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
914,914,ionic,fuel / energy / charging,POWERTRAIN / PERFORMANCE
915,915,climate controls action,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
916,916,noises,audio,EMOTIONAL / SENSORY / VISUAL
917,917,grab handle,doors,EXTERIOR / STYLING / DESIGN
918,918,dynamic handling package,driving dynamics / handling,HANDLING / DYNAMICS
919,919,electric engine,engine / power train,POWERTRAIN / PERFORMANCE
920,920,back seating,seats,INTERIOR / COMFORT / ERGONOMICS
921,921,styling cars,design,EMOTIONAL / SENSORY / VISUAL
922,922,audi tt,model / generic car terms,GENERAL INFORMATION
923,923,automatic engines start stop system,engine / power train,POWERTRAIN / PERFORMANCE
924,924,dirt road,road terrain,HANDLING / DYNAMICS
925,925,seats down,seats,INTERIOR / COMFORT / ERGONOMICS
926,926,packaging,generic description & miscellaneous,GENERAL INFORMATION
927,927,plugin hybrids,fuel / energy / charging,POWERTRAIN / PERFORMANCE
928,928,individual mode,driving dynamics / handling,HANDLING / DYNAMICS
929,929,base price,value / cost,DISTANCE / MEASUREMENT /  COST
930,930,backseat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
931,931,performed,performance,POWERTRAIN / PERFORMANCE
932,932,hood vent,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
933,933,torque rating,engine / power train,POWERTRAIN / PERFORMANCE
934,934,delay,performance,POWERTRAIN / PERFORMANCE
935,935,bmw m6,model / generic car terms,GENERAL INFORMATION
936,936,control system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
937,937,race track,road terrain,HANDLING / DYNAMICS
938,938,premium plus package price,value / cost,DISTANCE / MEASUREMENT /  COST
939,939,creases,design,EMOTIONAL / SENSORY / VISUAL
940,940,s line ride,drive,POWERTRAIN / PERFORMANCE
941,941,rear passenger,passenger space,INTERIOR / COMFORT / ERGONOMICS
942,942,getting in the back,doors,EXTERIOR / STYLING / DESIGN
943,943,cummings,generic description & miscellaneous,GENERAL INFORMATION
944,944,dynamic clutch,transmission,POWERTRAIN / PERFORMANCE
945,945,m5 designation within tachometer,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
946,946,offroad height raise,road terrain,HANDLING / DYNAMICS
947,947,spaciousness,passenger space,INTERIOR / COMFORT / ERGONOMICS
948,948,road demeanor,road terrain,HANDLING / DYNAMICS
949,949,first few miles,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
950,950,road holding,road terrain,HANDLING / DYNAMICS
951,951,three in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
952,952,ergonomics,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
953,953,entry,doors,EXTERIOR / STYLING / DESIGN
954,954,platform,chassis / structural,STRUCTURAL
955,955,city noise,audio,EMOTIONAL / SENSORY / VISUAL
956,956,air intake,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
957,957,wheels,wheels & tyres,HANDLING / DYNAMICS
958,958,dash,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
959,959,side skirts,side section,EXTERIOR / STYLING / DESIGN
960,960,acoustic glass,windows / glass,EXTERIOR / STYLING / DESIGN
961,961,ipad stall screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
962,962,roof spoiler,roof,EXTERIOR / STYLING / DESIGN
963,963,back side headspace,passenger space,INTERIOR / COMFORT / ERGONOMICS
964,964,door down head,doors,EXTERIOR / STYLING / DESIGN
965,965,remote gesture control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
966,966,noise levels,audio,EMOTIONAL / SENSORY / VISUAL
967,967,quilted leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
968,968,tour curve,road terrain,HANDLING / DYNAMICS
969,969,entire engine lineup,engine / power train,POWERTRAIN / PERFORMANCE
970,970,a6 backseats,seats,INTERIOR / COMFORT / ERGONOMICS
971,971,s class front seat,seats,INTERIOR / COMFORT / ERGONOMICS
972,972,roof panel,roof,EXTERIOR / STYLING / DESIGN
973,973,vehicle,generic description & miscellaneous,GENERAL INFORMATION
974,974,roof down,roof,EXTERIOR / STYLING / DESIGN
975,975,average speed,acceleration,POWERTRAIN / PERFORMANCE
976,976,storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
977,977,middle seat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
978,978,full multi beam led headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
979,979,front wheel drive,drive,POWERTRAIN / PERFORMANCE
980,980,wheel,wheels & tyres,HANDLING / DYNAMICS
981,981,inside looks,design,EMOTIONAL / SENSORY / VISUAL
982,982,windscreen signature,windscreen / wipers,SAFETY
983,983,seatbelt straps,seats,INTERIOR / COMFORT / ERGONOMICS
984,984,center arm,seats,INTERIOR / COMFORT / ERGONOMICS
985,985,lift gate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
986,986,sand,road terrain,HANDLING / DYNAMICS
987,987,gt three bumpy road,driving dynamics / handling,HANDLING / DYNAMICS
988,988,interior color,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
989,989,right hand drive steering wheel,steering,HANDLING / DYNAMICS
990,990,customization,functionality & features,FUNCTIONAL / UTILITY FEATURES
991,991,three series,model / generic car terms,GENERAL INFORMATION
992,992,phone cradle,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
993,993,few bumps,road terrain,HANDLING / DYNAMICS
994,994,interior trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
995,995,sound insulation,audio,EMOTIONAL / SENSORY / VISUAL
996,996,mile above sea level,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
997,997,rear track,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
998,998,equipped levels,equipment,FUNCTIONAL / UTILITY FEATURES
999,999,tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1000,1000,air events,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1001,1001,storage(front passenger seat),storage & utility,FUNCTIONAL / UTILITY FEATURES
1002,1002,car engineering,engine / power train,POWERTRAIN / PERFORMANCE
1003,1003,brake pedal field,brake,HANDLING / DYNAMICS
1004,1004,general goodness,functionality & features,FUNCTIONAL / UTILITY FEATURES
1005,1005,cabins,interior,INTERIOR / COMFORT / ERGONOMICS
1006,1006,back seat space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1007,1007,windshield  intensity,windscreen / wipers,SAFETY
1008,1008,option list,options & specifications,GENERAL INFORMATION
1009,1009,sport seats,seats,INTERIOR / COMFORT / ERGONOMICS
1010,1010,brake discs,brake,HANDLING / DYNAMICS
1011,1011,command system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
1012,1012,roof bars,roof,EXTERIOR / STYLING / DESIGN
1013,1013,operation,functionality & features,FUNCTIONAL / UTILITY FEATURES
1014,1014,model,model / generic car terms,GENERAL INFORMATION
1015,1015,220 c d engine,engine / power train,POWERTRAIN / PERFORMANCE
1016,1016,ground clearance,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
1017,1017,hands free,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
1018,1018,front storage kit,storage & utility,FUNCTIONAL / UTILITY FEATURES
1019,1019,accelerating in comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1020,1020,carry three passengers in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
1021,1021,new q3,model / generic car terms,GENERAL INFORMATION
1022,1022,modes,driving dynamics / handling,HANDLING / DYNAMICS
1023,1023,get snow off the car,road terrain,HANDLING / DYNAMICS
1024,1024,price,value / cost,DISTANCE / MEASUREMENT /  COST
1025,1025,steering feedback,steering,HANDLING / DYNAMICS
1026,1026,lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1027,1027,back piano plastic,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1028,1028,second row sound,audio,EMOTIONAL / SENSORY / VISUAL
1029,1029,wind intakes,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1030,1030,cabin,interior,INTERIOR / COMFORT / ERGONOMICS
1031,1031,smaller bumps,road terrain,HANDLING / DYNAMICS
1032,1032,sensors,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1033,1033,spokes,wheels & tyres,HANDLING / DYNAMICS
1034,1034,top down,roof,EXTERIOR / STYLING / DESIGN
1035,1035,color tone,design,EMOTIONAL / SENSORY / VISUAL
1036,1036,trip computer,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1037,1037,door handle,doors,EXTERIOR / STYLING / DESIGN
1038,1038,panel gaps,build quality / construction,STRUCTURAL
1039,1039,pure electric range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1040,1040,load space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1041,1041,hierarchy,packages / trims / variants,GENERAL INFORMATION
1042,1042,hold assist price,driver assistance,SAFETY
1043,1043,rs4,model / generic car terms,GENERAL INFORMATION
1044,1044,finishes,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1045,1045,tray,storage & utility,FUNCTIONAL / UTILITY FEATURES
1046,1046,innovations,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
1047,1047,blind state monitoring,visibility & view,SAFETY
1048,1048,front suspension,suspension,HANDLING / DYNAMICS
1049,1049,fuel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1050,1050,damp,suspension,HANDLING / DYNAMICS
1051,1051,netting,storage & utility,FUNCTIONAL / UTILITY FEATURES
1052,1052,dynamic cruise control,driver assistance,SAFETY
1053,1053,amenities,functionality & features,FUNCTIONAL / UTILITY FEATURES
1054,1054,parking guidance system,driver assistance,SAFETY
1055,1055,turbo petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1056,1056,door,doors,EXTERIOR / STYLING / DESIGN
1057,1057,pedals and springs,physical controls,INTERIOR / COMFORT / ERGONOMICS
1058,1058,massage,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1059,1059,built,build quality / construction,STRUCTURAL
1060,1060,feature set,functionality & features,FUNCTIONAL / UTILITY FEATURES
1061,1061,cargo hold,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1062,1062,lincoln m . k . c,model / generic car terms,GENERAL INFORMATION
1063,1063,launch control,acceleration,POWERTRAIN / PERFORMANCE
1064,1064,options,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1065,1065,compartment,storage & utility,FUNCTIONAL / UTILITY FEATURES
1066,1066,rain,road terrain,HANDLING / DYNAMICS
1067,1067,climate control dials,physical controls,INTERIOR / COMFORT / ERGONOMICS
1068,1068,badge,design,EMOTIONAL / SENSORY / VISUAL
1069,1069,metal area,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1070,1070,electric steering,steering,HANDLING / DYNAMICS
1071,1071,bmw,model / generic car terms,GENERAL INFORMATION
1072,1072,happenings,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1073,1073,real world testing,performance,POWERTRAIN / PERFORMANCE
1074,1074,audi badge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1075,1075,wagon,body type,EXTERIOR / STYLING / DESIGN
1076,1076,low speed,acceleration,POWERTRAIN / PERFORMANCE
1077,1077,front brakes discs,brake,HANDLING / DYNAMICS
1078,1078,glove box space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1079,1079,navigating menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1080,1080,glass,windows / glass,EXTERIOR / STYLING / DESIGN
1081,1081,skin,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1082,1082,leather upgrade cost,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1083,1083,response,driving dynamics / handling,HANDLING / DYNAMICS
1084,1084,foot and leg rest,seats,INTERIOR / COMFORT / ERGONOMICS
1085,1085,button,physical controls,INTERIOR / COMFORT / ERGONOMICS
1086,1086,dead paddle,physical controls,INTERIOR / COMFORT / ERGONOMICS
1087,1087,cell,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1088,1088,door,doors,EXTERIOR / STYLING / DESIGN
1089,1089,audi a8,model / generic car terms,GENERAL INFORMATION
1090,1090,command online system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
1091,1091,wagon load,body type,EXTERIOR / STYLING / DESIGN
1092,1092,swivel,physical controls,INTERIOR / COMFORT / ERGONOMICS
1093,1093,body lines,body class,EXTERIOR / STYLING / DESIGN
1094,1094,bmw seven series,model / generic car terms,GENERAL INFORMATION
1095,1095,s c suspension,suspension,HANDLING / DYNAMICS
1096,1096,hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1097,1097,disk,brake,HANDLING / DYNAMICS
1098,1098,drive train,drive,POWERTRAIN / PERFORMANCE
1099,1099,wheel arch intrusion,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1100,1100,entry level diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
1101,1101,upgraded screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1102,1102,optional baskets,storage & utility,FUNCTIONAL / UTILITY FEATURES
1103,1103,rear headrooms,passenger space,INTERIOR / COMFORT / ERGONOMICS
1104,1104,gesture controls,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
1105,1105,sensation,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1106,1106,e brake,brake,HANDLING / DYNAMICS
1107,1107,plastic,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1108,1108,camera review,visibility & view,SAFETY
1109,1109,pull,acceleration,POWERTRAIN / PERFORMANCE
1110,1110,coupe,body type,EXTERIOR / STYLING / DESIGN
1111,1111,my vehicle,generic description & miscellaneous,GENERAL INFORMATION
1112,1112,head unit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1113,1113,sports standard,driving dynamics / handling,HANDLING / DYNAMICS
1114,1114,in the car,interior,INTERIOR / COMFORT / ERGONOMICS
1115,1115,driver seat heat dissipation,seats,INTERIOR / COMFORT / ERGONOMICS
1116,1116,rear seat combination,seats,INTERIOR / COMFORT / ERGONOMICS
1117,1117,boot capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1118,1118,quattro system,drive,POWERTRAIN / PERFORMANCE
