values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
main screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
booth,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
M5,,,,Other,,Other,,Generic Car Terms
antiroll bars,,,,Other,,Other,,
rough surface,,,,Other,,Other,,Road Terrain
BMW badge,,,,Other,,Other,,Generic Car Terms
supercar,,,,Other,,Other,,
overall interior quality,,,,Other,,Other,,
central armrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
semi autonomous driving system,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver_Assistance
outside,,,,Other,,Other,,
driving position ground clearance,,,,Other,,Other,,
back pillars,,,,Other,,Other,,Visibility & View
door down head,,,,Other,,Body & Exterior,,Doors
running cost,,,,Other,,Other,,Value / Cost
transmission,,,,Other,,Transmission & Drivetrain,,transmission
BMW two series,,,,Other,,Other,,Generic Car Terms
riddles,,,,Other,,Other,,
choice,,,,Other,,Other,,Road Terrain
s line ride,,,,Other,,Other,,
exhaust pipe surround,,,,Other,,Other,,
goodies,,,,Other,,Other,,
stability,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
Virtual Cockpit,,,,Other,,Other,,Displays / Instrumentation
entertainment screen passenger view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
turns,,,,Other,,Other,,Cornering / Grip
front end grip,,,,Other,,Body & Exterior,,
four zone climate control,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
rear parking sensors,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Parking
newest s class,,,,Other,,Other,,Generic Car Terms
a piece of plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
Acceleration,,,,Other,,Handling & Dynamics,,Acceleration
offroad mode,,,,Other,,Other,,Road Terrain
hinges,,,,Other,,Other,,
start,,,,Other,,Other,,
steering control,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
rough roads,,,,Other,,Other,,Road Terrain
receiving position,,,,Other,,Other,,
get in the back,,,,Other,,Other,,Doors
get in and out -front,,,,Other,,Other,,Doors
well being,,,,Other,,Other,,
drive position,,,,Other,,Other,,
third row seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
touch,,,,Other,,Other,,Gesture / Motion Controls
air suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - headroom
arm,,,,Other,,Other,,seats
styling,,,,Other,,Other,,
wheel arch,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
blue and red stitches,,,,Other,,Other,,
connection to front axle,,,,Other,,Other,,
S tronic gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
door close,,,,Other,,Body & Exterior,,Doors
front story jacket,,,,Other,,Other,,
tank,,,,Other,,Other,,
look,,,,Other,,Other,,
rear parking,,,,Other,,Other,,Parking
virtual cockpit,,Displays & Instrumentation,Technology,Other,,Other,,Displays / Instrumentation
software,,,,Other,,Other,,Software / Interaction
magic body control camera,,,,Other,,Body & Exterior,,
drag,,,,Other,,Body & Exterior,,
BMW entertainment system,,,,Other,,Infotainment & Display,,Software / Interaction
screens,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
gesture commands,,,,Other,,Other,,Gesture / Motion Controls
optional surrounding cameras,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Cameras
Alcantara,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
goes over bumps,,,,Other,,Other,,Road Terrain
Gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
air deflector,,,,Other,,Other,,
front wheels,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
sporting events,,,,Other,,Other,,
speed up,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
engine brace,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
noise levels,,,,Other,,Other,,
second row seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
taste,,,,Other,,Other,,
screen clarity,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
inside,,,,Other,,Other,,
edges,,,,Other,,Other,,
virtual 360 degree cameras,,,,Other,,Miscellaneous Features,,
weirdness,,,,Other,,Other,,
middle headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - middle headroom
gearbox auto mode,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
seat belt,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
premium plus package price,,,,Other,,Other,,Road Terrain
blind spot,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Safety
opening,,,,Other,,Other,,
front seat control,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
road demeanor,,,,Other,,Other,,Road Terrain
haunches,,,,Other,,Other,,
acoustic windscreen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
light cover,,,,Other,,Other,,lighting
rear armrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
long in the car,,,,Other,,Other,,
Audi A one s line,,,,Other,,Other,,Generic Car Terms
electric lumbar support,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
performance amount,,,,Other,,Other,,
x two,,,,Other,,Other,,
tech,,,,Other,,Other,,Software / Interaction
drive in town,,,,Other,,Other,,
hands free,,,,Other,,Other,,
back seat control,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
public roads,,,,Other,,Other,,
BMW A8,,,,Other,,Other,,Generic Car Terms
rear pillar,,,,Other,,Other,,
RS5 looks,,,,Other,,Other,,Generic Car Terms
GOC 43,,,,Other,,Other,,Generic Car Terms
Quattro drive system,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
regionalism,,,,Other,,Other,,
seatback release,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
fuel economy,,,,Other,,Other,,Fuel / Energy / Charging
crystal,,,,Other,,Other,,
long distances,,,,Other,,Other,,
body panels,,,,Other,,Body & Exterior,,
old V8 sound,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
motor,,,,Other,,Other,,
wet road,,,,Other,,Other,,Road Terrain
turbo petrol engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
BMW A8 plug in hybrid,,,,Other,,Engine & Performance,,Generic Car Terms
nooks,,,,Other,,Other,,
door handle inserts,,,,Other,,Body & Exterior,,Doors
door ,,,,Other,,Body & Exterior,,Doors
ashtray,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
road conditions,,,,Other,,Other,,Road Terrain
bodywork,,,,Other,,Body & Exterior,,
rain sensing windshield wiper,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Windscreen / Wipers
pickup,,,,Other,,Other,,
warning,,,,Other,,Miscellaneous Features,,Safety
downforce,,,,Other,,Other,,
button to open the boot,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
spirit,,,,Other,,Other,,
S5 sport back launch,,,,Other,,Other,,Generic Car Terms
smells,,,,Other,,Other,,
gap,,,,Other,,Other,,
lifespan,,,,Other,,Other,,Value / Cost
window lead,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
digital display,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
BMW seven series,,,,Other,,Other,,Generic Car Terms
glovebox,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
offset pedals,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
isolation,,,,Other,,Other,,
stall,,,,Other,,Other,,
third row space,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Other,,passenger space - third row space
ability,,,,Other,,Other,,
A4 Quatro,,,,Other,,Other,,
performance,,,,Other,,Other,,
entry level diesel engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
individual setting,,,,Other,,Other,,
build,,,,Other,,Other,,
cargo volume,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
dynamic ability,,,,Other,,Handling & Dynamics,,
back windows,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
built in sundress holder,,,,Other,,Other,,
cargo hold,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
shifts,,,,Other,,Other,,
load lifter,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
damp,,,,Other,,Other,,Suspension
Virual Cockpit,,,,Other,,Other,,Displays / Instrumentation
upgraded  sound system,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,
pedals and springs,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
quality,,,,Other,,Other,,
tri color logo,,,,Other,,Body & Exterior,,
rapid charging,,,,Other,,Other,,Fuel / Energy / Charging
tailgate,,,,Other,,Other,,
voice recognition system,,,,Other,,Other,,Voice & Commands
noise suppression,,,,Other,,Other,,audio
ends,,,,Other,,Other,,
child seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
output figures,,,,Other,,Other,,engine/ power train
downhill,,,,Other,,Other,,Road Terrain
writing pad,,,,Other,,Other,,
rubber,,,,Other,,Other,,
zero petrol use,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
thirdrow seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
two litre turbo size,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
rear window shades,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
ridge,,,,Other,,Other,,
exhaust crackle,,,,Other,,Other,,audio
charging sockets,,,,Other,,Other,,Fuel / Energy / Charging
performance figures,,,,Other,,Other,,
pure electric range,,,,Other,,Other,,Fuel / Energy / Charging
battery management system,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
piston calliper,,,,Other,,Other,,brake
theme,,,,Other,,Other,,
arm rest,,,,Other,,Miscellaneous Features,,seats
hold feature,,,,Other,,Other,,
cooling ducts,,,,Other,,Other,,
air suspension comfy setting,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
power seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,engine/ power train
wooden wheel arches,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
dry road,,,,Other,,Other,,Road Terrain
mix and match settings,,,,Other,,Other,,Software / Interaction
cell phone spot,,,,Other,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
Magic Sky roof,,,,Other,,Body & Exterior,,roof
cable,,,,Other,,Other,,
massaging function,,,,Other,,Other,,
satellite navigation system,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Navigation / Mapping
practicality,,,,Other,,Other,,Storage & Utility
rear peasant blocker,,,,Other,,Other,,
every material,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
rear passenger,,,,Other,,Other,,
wheels,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
cruising around,,,,Other,,Other,,Driver_Assistance
Audi RS,,,,Other,,Other,,Generic Car Terms
air scarf,,,,Other,,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
slow road,,,,Other,,Other,,
digital dash,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
charging points,,,,Other,,Connectivity,TECHNOLOGY_INFOTAINMENT,Fuel / Energy / Charging
wind whistles,,,,Other,,Other,,
sports car,,,,Other,,Other,,
carbon footprint,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
rear windows,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
X Drive System,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
Mercedes S class coupe A8,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,Generic Car Terms
catches,,,,Other,,Other,,
power release,,,,Other,,Other,,engine/ power train
BMW backseat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
dynamism,,,,Other,,Other,,
remote driving,,,,Other,,Other,,
unlock,,,,Other,,Other,,
two litre engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
saloon S5 headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - saloon S5 headroom
drivability,,,,Other,,Other,,
view from back,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
sport driving,,,,Other,,Other,,
coupe,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,
seat ,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
car engineering,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
job breaks,,,,Other,,Other,,
footstool,,,,Other,,Other,,
packaging,,,,Other,,Other,,
manual mode transmission,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
gear stuff,,,,Other,,Other,,transmission
shock absorbers,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
load,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
BMW S4,,,,Other,,Other,,Generic Car Terms
phone box,,,,Other,,Other,,boot_cargo
bits,,,,Other,,Other,,
carbon ceramic discs,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,brake
technology pack,,,,Other,,Other,,Software / Interaction
stereo,,,,Other,,Other,,audio
second row legroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - second row legroom
reversing camera,,,,Other,,Miscellaneous Features,,Cameras
beams,,,,Other,,Other,,
rear headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - rear headroom
dual clutch,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
corner handle,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
automatic emergency breaking,,,,Transmission,POWERTRAIN_PERFORMANCE,Driver Assistance,TECHNOLOGY_INFOTAINMENT,brake
experience in town (drive),,,,Other,,Other,,Road Terrain
dirt,,,,Other,,Other,,
Headroom backseat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
alloys,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
design quality,,,,Other,,Other,,
flaps,,,,Other,,Other,,
cold weather,,,,Other,,Other,,Road Terrain
interior sophistication,,,,Other,,Other,,
RS6 color,,,,Other,,Body & Exterior,,Generic Car Terms
start up,,,,Other,,Other,,
door,,,,Other,,Body & Exterior,,Doors
pine white,,,,Other,,Other,,
RS6 everyday performance,,,,Other,,Other,,Generic Car Terms
exhaust noise (dynamic mode),,,,Other,,Handling & Dynamics,,audio
cabin layout,,,,Other,,Other,,
straight line,,,,Other,,Other,,Road Terrain
roof up and down,,,,Other,,Body & Exterior,,roof
sharp bumps,,,,Other,,Other,,Road Terrain
views,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
body control,,,,Other,,Body & Exterior,,
torque vectoring,,,,Engine,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,engine/ power train
glovebox size,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
sunshades,,,,Other,,Other,,
back door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
comfy setting,,,,Other,,Other,,
maneuvaribility,,,,Other,,Other,,
safety technology,,,,Other,,Miscellaneous Features,,Safety
straps,,,,Other,,Other,,
climate control location,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
steering (sports mode),,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
body roll,,,,Other,,Body & Exterior,,
Parcel Shelf,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Storage & Utility
base X1,,,,Other,,Other,,Generic Car Terms
A one,,,,Other,,Other,,Generic Car Terms
in the car,,,,Other,,Other,,
outside wheels,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
top down,,,,Other,,Other,,
normal mode sound ,,,,Other,,Other,,
extend front part seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
profile,,,,Other,,Other,,
spec,,,,Other,,Other,,
setup,,,,Other,,Other,,
speed limiter,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
storage cover,,,,Other,,Other,,boot_cargo
lift gate,,,,Other,,Other,,boot_cargo
acoustics,,,,Other,,Other,,
smooth road,,,,Other,,Other,,
storage by steering,,,,Handling,POWERTRAIN_PERFORMANCE,Storage,INTERIOR_SPACE_COMFORT,steering
Alexis I,,,,Other,,Other,,
quadrille wheel drive,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
shape,,,,Other,,Other,,
side finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
0 to 60 acceleration,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
mode,,,,Other,,Other,,
load height,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
comfort package,,,,Other,,Other,,
launch time,,,,Other,,Other,,
entertainment system view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Software / Interaction
right on the road,,,,Other,,Other,,
passenger space,,,,Other,,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - passenger space
GT three wet road,,,,Other,,Other,,Road Terrain
blade pane,,,,Other,,Other,,
roofline,,,,Other,,Body & Exterior,,roof
steering response,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
step up,,,,Other,,Other,,
Audi TT,,,,Other,,Other,,Generic Car Terms
usability,,,,Other,,Other,,Storage & Utility
Audi X3,,,,Other,,Other,,Generic Car Terms
shortcut buttons,,,,Other,,Other,,Physical Controls
stick shift,,,,Other,,Other,,
build quality,,,,Other,,Other,,
media centre,,,,Other,,Other,,Displays / Instrumentation
sports plus exhaust,,,,Other,,Other,,
back pillar,,,,Other,,Other,,
pull,,,,Other,,Other,,
Mercedes-Benz  design,,,,Other,,Other,,Generic Car Terms
warranty,,,,Other,,Other,,Value / Cost
sitting position,,,,Other,,Other,,
option sheet,,,,Other,,Other,,
backend capacity,,,,Other,,Other,,
powertrain,,,,Other,,Other,,engine/ power train
Q A8,,,,Other,,Other,,Generic Car Terms
rear pillars,,,,Other,,Other,,Visibility & View
roof spoiler,,,,Other,,Body & Exterior,,roof
things,,,,Other,,Other,,
charge,,,,Other,,Other,,
auto emergency braking,,,,Other,,Other,,brake
Entertainment system,,,,Other,,Infotainment & Display,,Software / Interaction
gearbox mannual mode,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
profiles,,,,Other,,Other,,Software / Interaction
tracks drive,,,,Other,,Other,,Road Terrain
rear view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
wing mirrors,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
head restraints,,,,Other,,Other,,seats
all controls,,,,Other,,Other,,
car ,,,,Other,,Other,,
balance point,,,,Other,,Handling & Dynamics,,
room inside,,,,Other,,Other,,
precision,,,,Other,,Other,,
lock,,,,Other,,Other,,
control over driving,,,,Other,,Other,,
automated tailgate,,,,Other,,Other,,
central seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
cargo area,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
traction control system,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
throttle response,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
driving,,,,Other,,Other,,
beans,,,,Other,,Other,,
aura,,,,Other,,Other,,
premium plus package,,,,Other,,Other,,
Magic Vision Control,,,,Other,,Other,,
V 10 plus,,,,Other,,Other,,Generic Car Terms
covering,,,,Other,,Other,,
newest s class price,,,,Other,,Other,,Road Terrain
petrol engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
mapping,,,,Other,,Other,,Navigation / Mapping
GT-R,,,,Other,,Other,,Generic Car Terms
Mercedes-Benz system,,,,Other,,Other,,Generic Car Terms
normal screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
augmented reality satellite navigation system,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Navigation / Mapping
springs,,,,Other,,Other,,Suspension
two litre diesel engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
third row,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Other,,
structural rigidity,,,,Other,,Other,,
value for money,,,,Other,,Other,,Value / Cost
head room,,,,Other,,Other,,
dump control,,,,Other,,Other,,
performed,,,,Other,,Other,,
quattro ultra system,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
BMW ,,,,Other,,Other,,Generic Car Terms
X5,,,,Other,,Other,,Generic Car Terms
smaller people,,,,Other,,Other,,
accelerating in comfort mode,,,,Other,,Other,,Acceleration
review,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
DIT,,,,Other,,Other,,
grips in the corners,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
base engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
Stronic transmission,,,,Other,,Transmission & Drivetrain,,transmission
front apron port,,,,Other,,Body & Exterior,,
Q7,,,,Other,,Other,,Generic Car Terms
getting stuff in and out,,,,Other,,Other,,boot_cargo
air breather,,,,Other,,Other,,
ceiling,,,,Other,,Other,,
battery pack,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
soundproofing,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,audio
estate,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,
dashes,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
dynamic cruise control,,,,Other,,Handling & Dynamics,,Driver_Assistance
air events,,,,Other,,Other,,Climate / Temperature Control
torque redirection,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,engine/ power train
heavy items,,,,Other,,Other,,
steering guidance,,,,Handling,POWERTRAIN_PERFORMANCE,Driver Assistance,TECHNOLOGY_INFOTAINMENT,steering
reading lights,,,,Other,,Other,,lighting
mid corner,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
s three price,,,,Other,,Other,,Road Terrain
50 D engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
voice recognition,,,,Other,,Other,,Road Terrain
changing plugs,,,,Other,,Other,,
foot wells,,,,Other,,Other,,
petrol consumption,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
back light bar,,,,Other,,Other,,
under floor storage,,,,Other,,Other,,boot_cargo
Quattro drive,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
tyres,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
plastics,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
ICO mode,,,,Other,,Other,,
over specifications,,,,Other,,Other,,
back get in,,,,Other,,Other,,Doors
automatic engine shutoff,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
parkability,,,,Other,,Other,,Parking
information display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
off roading,,,,Other,,Other,,Road Terrain
twist road,,,,Other,,Other,,Road Terrain
little fasting,,,,Other,,Other,,
range,,,,Other,,Other,,
horsepower,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,engine/ power train
assisst,,,,Other,,Other,,
light,,,,Other,,Other,,
trunk capacity,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
layout,,,,Other,,Other,,
trim without extra bits,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
widescreen setting,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
most plastics,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
performers,,,,Other,,Other,,
