,aspect,base_category
1039,panel gaps,build quality / construction
1040,pure electric range,fuel / energy / charging
1041,load space,climate / temperature control
1042,hierarchy,packages / trims / variants
1043,hold assist price,driver assistance
1044,rs4,model / generic car terms
1045,finishes,interior materials & trim / finish
1046,tray,storage & utility
1047,innovations,Technology
1048,blind state monitoring,visibility & view
1049,front suspension,suspension
1050,fuel,fuel / energy / charging
1051,damp,suspension
1052,netting,model / generic car terms
1053,dynamic cruise control,driver assistance
1054,amenities,Functional Features
1055,parking guidance system,driver assistance
1056,turbo petrol,fuel / energy / charging
1057,door,doors
1058,pedals and springs,brake
1059,massage,Comfort & Ergonomics
1060,built,
1061,feature set,Functionality & Features
1062,cargo hold,boot/cargo
1063,lincoln m . k . c,model / generic car terms
1064,launch control,acceleration
1065,options,software / interaction
1066,compartment,storage & utility
1067,rain,road terrain
1068,climate control dials,climate / temperature control
1069,badge,Design
1070,metal area,exterior materials & finish
1071,electric steering,steering
1072,bmw,model / generic car terms
1073,happenings,
1074,real world testing,
1075,audi badge,Design
1076,wagon,body type
1077,low speed,acceleration
1078,front brakes discs,brake
1079,glove box space,climate / temperature control
1080,navigating menus,software / interaction
1081,glass,windows / glass
1082,skin,interior materials & trim / finish
1083,leather upgrade cost,interior materials & trim / finish
1084,response,
1085,foot and leg rest,seats
1086,button,model / generic car terms
1087,dead paddle,physical controls
1088,cell,connectivity / integration
1089,door,doors
1090,audi a8,model / generic car terms
1091,command online system,voice & commands
1092,wagon load,body type
1093,swivel,
1094,body lines,body class
1095,bmw seven series,model / generic car terms
1096,s c suspension,suspension
1097,hybrid,fuel / energy / charging
1098,disk,brake
1099,drive train,drive
1100,wheel arch intrusion,wheels & tyres
1101,entry level diesel engine,engine / power train
1102,upgraded screen,displays / instrumentation
1103,optional baskets,storage & utility
1104,rear headrooms,passenger space
1105,gesture controls,gesture / motion controls
1106,sensation,emotional & sensory experience
1107,e brake,brake
1108,plastic,exterior materials & finish
1109,camera review,visibility & view
1110,pull,
1111,coupe,body type
1112,my vehicle,model / generic car terms
1113,head unit,displays / instrumentation
1114,sports standard,Driving Dynamics / Handling
1115,in the car,model / generic car terms
1116,driver seat heat dissipation,drive
1117,rear seat combination,seats
1118,boot capacity,climate / temperature control
1119,quattro system,model / generic car terms
1120,satnav,navigation / mapping
1121,load floor,boot/cargo
1122,center console,
1123,screen display,displays / instrumentation
1124,driving cars,drive
1125,driver assistant system,drive
1126,category,
1127,cabriole,body type
1128,driving function,drive
1129,front seat side bolster,seats
1130,central armrest,seats
1131,accelerations,climate / temperature control
1132,sunshades,
1133,drag,aerodynamics / airflow
1134,steering sensitivity,steering
1135,stop start system,brake
1136,backseat functions,Functionality & Features
1137,warning sound,audio
1138,benefits,value / cost
1139,suspension spring,suspension
1140,glc c300,model / generic car terms
1141,offroadinfg,road terrain
1142,accelerates,climate / temperature control
1143,stuff,
1144,side bolsters,seats
1145,intakes,aerodynamics / airflow
1146,normal suspension,suspension
1147,car,model / generic car terms
1148,wheel base,chassis / structural
1149,feel,Emotional & Sensory Experience
1150,support under legs,seats
1151,reversing camera definition,driver assistance
1152,adjustment,Comfort & Ergonomics
1153,top end rush,acceleration
1154,supercar,model / generic car terms
1155,magnifying glass,visibility & view
1156,winding roads,road terrain
1157,quattro wheel drive,model / generic car terms
1158,door mirror controller,doors
1159,electric platform,
1160,opening bonnet,bonnet
1161,three litre v sixty,engine/ power train
1162,bmw i a8 price,model / generic car terms
1163,fuel efficiency,fuel / energy / charging
1164,storage cubbies,storage & utility
1165,a7 price,model / generic car terms
1166,crevice,road terrain
1167,features,Functionality & Features
1168,battery pack,model / generic car terms
1169,sound,audio
1170,engine start,engine / power train
1171,exhaust crackle,exhaust
1172,rough terrain,road terrain
1173,exhaust pipe,exhaust
1174,magic sky feature,Functionality & Features
1175,boot useful features,Functionality & Features
1176,massaging function,seats
1177,stereo,audio
1178,engineering prowess,engine / power train
1179,neighs,
1180,f40 5 a.m. g,model / generic car terms
1181,audi x1,model / generic car terms
1182,steering (sports mode),steering
1183,snow storm,road terrain
1184,steering (dynamic mode),steering
1185,gear shifter,transmission
1186,pine white,exterior materials & finish
1187,version,packages / trims / variants
1188,get out,doors
1189,electricity fuel,fuel / energy / charging
1190,v8 engine,engine / power train
1191,x1,model / generic car terms
1192,climate control location,climate / temperature control
1193,s6,model / generic car terms
1194,blind spot warning,safety
1195,equipped,Equipment
1196,receipts,
1197,brake pedal,brake
1198,tracks drive,drive
1199,eco pro,fuel / energy / charging
1200,braking feel,Emotional & Sensory Experience
1201,turning,cornering
1202,any given road,road terrain
1203,carpet,model / generic car terms
1204,loading heavy cargo,boot/cargo
1205,steering,steering
1206,see,visibility & view
1207,technology pack cost,Value / Cost
1208,x line up,packages / trims / variants
1209,inside,interior
1210,work tables,storage & utility
1211,patterns,model / generic car terms
1212,underneath coating,
1213,trim,Design
1214,ownership proposition,seats
1215,second row legroom,passenger space
1216,hold assist system,driver assistance
1217,interior color choices,Design
1218,foot brake,brake
1219,torque capability,engine/ power train
1220,parking assist,driver assistance
1221,base engine,engine / power train
1222,software,software / interaction
1223,field,road terrain
1224,fourth gear,transmission
1225,camera gun,cameras
1226,universal garage door opener,doors
1227,front wheels,wheels & tyres
1228,third generation,model / generic car terms
1229,backseat environment,climate / temperature control
1230,few buttons,model / generic car terms
1231,new platforms,
1232,package,climate / temperature control
1233,prowess,performance
1234,child seats,seats
1235,pedals,brake
1236,bump,road terrain
1237,window seal,aerodynamics / airflow
1238,rear row seat,seats
1239,audi a6,model / generic car terms
1240,view from back,visibility & view
1241,energizing comfort control,Comfort & Ergonomics
1242,piston calliper,aerodynamics / airflow
1243,get in the car,doors
1244,bracing,climate / temperature control
1245,torque,engine/ power train
1246,balance,traction / stability
1247,protective system,driver assistance
1248,cool features,Functionality & Features
1249,kicks,
1250,font,
1251,stiffness,suspension
1252,audi a4,model / generic car terms
1253,modal,model / generic car terms
1254,general quality,build quality / construction
1255,bodywork,body class
1256,bmw a5,model / generic car terms
1257,backseat room,climate / temperature control
1258,front door bins,storage & utility
1259,high load floor,boot/cargo
1260,footroom,passenger space
1261,seat sliding forward,model / generic car terms
1262,pose,Emotional & Sensory Experience
1263,manual,transmission
1264,picking the route,navigation / mapping
1265,crystal,interior materials & trim / finish
1266,handled,Driving Dynamics / Handling
1267,track days,climate / temperature control
1268,gas truck,fuel / energy / charging
1269,technology pack,Technology
1270,snow,road terrain
1271,quattro drive,model / generic car terms
1272,fuel filler,fuel / energy / charging
1273,ride suspension,drive
1274,lower side wall,body class
1275,speed limit,acceleration
1276,class,
1277,audi q3,model / generic car terms
1278,engine range,engine / power train
1279,mercedes technology,Technology
1280,rear doors,doors
1281,suspension choice,suspension
1282,air conditioning,aerodynamics / airflow
1283,front end,front section
1284,getting rid of  v10,engine / power train
1285,power train,engine/ power train
1286,split tailgate,boot/cargo
1287,extended cargo area,boot/cargo
1288,things,
1289,volvo xc60 offroad,road terrain
1290,control interface,climate / temperature control
1291,blue and red stitches,interior materials & trim / finish
1292,engine sounds,engine / power train
1293,traction,climate / temperature control
1294,dynamic turn signals,Driving Dynamics / Handling
1295,petrol engine running,engine / power train
1296,glove box,boot/cargo
1297,ashtray,storage & utility
1298,back seat,climate / temperature control
1299,window switches,physical controls
1300,grip level,cornering / grip
1301,sport back,body type
1302,q5,model / generic car terms
1303,sloping roof,roof
1304,exhaust note,exhaust
1305,door pockets,storage & utility
1306,front center,
1307,dynamic,Driving Dynamics / Handling
1308,tire design,Design
1309,back of the car,climate / temperature control
1310,unlock,keys & lock
1311,carrying three people in back,climate / temperature control
1312,cost steering,steering
1313,fenders,body class
1314,tracks,climate / temperature control
1315,storage spaces,storage & utility
1316,minimalism,
1317,a6,model / generic car terms
1318,seat folding,seats
1319,engine note,engine / power train
1320,hardtop,roof
1321,logo,Design
1322,bench,seats
1323,speed up,acceleration
1324,drive system,drive
1325,gearbox auto mode,transmission
1326,build,build quality / construction
1327,ipod connector to stereo,audio
1328,differential,traction / stability
1329,ring system,software / interaction
1330,technologies,Technology
1331,smooth road drive,drive
1332,daily use,
1333,hot hatch package,body type
1334,rear seat,seats
1335,parcel shelf,storage & utility
1336,headliner,roof
1337,interior experience,interior
1338,audio,model / generic car terms
1339,wide tires,wheels & tyres
1340,turn off option,engine / power train
1341,touchpad,software / interaction
1342,silver trim on steering,Design
1343,second row seats,seats
1344,incredibly tight street,road terrain
1345,opulence,Emotional & Sensory Experience
1346,boot space,climate / temperature control
1347,view forward,visibility & view
1348,main screen,displays / instrumentation
1349,accelerate,climate / temperature control
1350,angular,design
1351,power release,engine/ power train
1352,offroad driving,drive
1353,gt price,model / generic car terms
1354,wind noise,audio
1355,equipment level,Equipment
1356,reversing,driver assistance
1357,boot storage,storage & utility
1358,button to open the boot,model / generic car terms
1359,rpm band,engine/ power train
1360,direction change,steering
1361,steering wheel mounted controls,steering
1362,folders,storage & utility
1363,digital display view change,visibility & view
1364,engines,engine / power train
1365,construction material,exterior materials & finish
1366,lighting,lighting
1367,fuel budget,fuel / energy / charging
1368,300d power,engine/ power train
1369,view of the vehicle,visibility & view
1370,wheel drive,drive
1371,adjustable lumbar support,seats
1372,manual gearboxes,transmission
1373,center tunnel,
1374,ending,
1375,headrest pillows,seats
1376,seatbelt,seats
1377,definition,Emotional & Sensory Experience
1378,hold feature,Functionality & Features
1379,steering lock,steering
1380,x3,model / generic car terms
1381,front curves,body class
1382,sifting through menus,software / interaction
1383,shock absorbers,brake
1384,x1 x drive 28,model / generic car terms
1385,e break activation lever,climate / temperature control
1386,u turns,cornering
1387,deceleration,brake
1388,storage area,storage & utility
1389,petrol engine,engine / power train
1390,bmw badge,Design
1391,openings,doors
1392,leather,interior materials & trim / finish
1393,engine sound,engine / power train
1394,motorway,engine/ power train
1395,option packages,climate / temperature control
1396,overall interior quality,interior
1397,stretch out,
1398,covering,exterior materials & finish
1399,temperature control,climate / temperature control
1400,back window,climate / temperature control
1401,lift over height,dimensions & measurements
1402,offroad pack,climate / temperature control
1403,audi a one,model / generic car terms
1404,torque redirection,engine/ power train
1405,camera on the roof,roof
1406,lower speed,acceleration
1407,standard system,software / interaction
1408,power allocation,engine/ power train
1409,coin holders,storage & utility
1410,nooks,storage & utility
1411,two litre turbo size,engine/ power train
1412,warranty,value / cost
1413,mirror cover,mirrors
1414,driver seat,drive
1415,corner dynamic mode,cornering
1416,arm rest,seats
1417,entertainment system touch,software / interaction
1418,parking assistant plus,driver assistance
1419,underfloor storage area,storage & utility
1420,tow hitch,
1421,windshield wipers,aerodynamics / airflow
1422,sit up,seats
1423,front door,doors
1424,wax dropping from the door,doors
1425,sense,Functionality & Features
1426,dynamic mode air suspension,suspension
1427,acoustics,climate / temperature control
1428,volvo xc60 power,engine/ power train
1429,x drive,drive
1430,mountains,road terrain
1431,slide,model / generic car terms
1432,unload,boot/cargo
1433,center seats,seats
1434,fix covers,
1435,trim,Design
1436,anti jacking,climate / temperature control
1437,hanging,
1438,hinges,
1439,smells,emotional & sensory experience
1440,bmw cars,model / generic car terms
1441,two litre engine,engine / power train
1442,carplay connectivity,connectivity / integration
1443,50 d engine,engine / power train
1444,steers,steering
1445,usb on 12v socket,connectivity / integration
1446,types of suspension,suspension
1447,sporting,Functionality & Features
1448,suspension (dynamic mode),suspension
1449,wheel designs,Design
1450,trappings,
1451,touring headroom,passenger space
1452,throttle responsiveness,model / generic car terms
1453,1.40 s8 engine upgrade,engine / power train
1454,rollover,safety
1455,front tires,wheels & tyres
1456,sidewall,body class
1457,seats dropping,seats
1458,windscreen,windscreen / wipers
1459,entertainment setup,software / interaction
1460,theme,Design
1461,kick,
1462,road noise,audio
1463,push button reach,model / generic car terms
1464,trunk shape,Design
1465,exterior styling,exterior materials & finish
1466,sun visors,windscreen / wipers
1467,shape,Design
1468,planted call features,Functionality & Features
1469,infotainment system,software / interaction
1470,events,aerodynamics / airflow
1471,carrying large items,model / generic car terms
1472,rear air conditioning,aerodynamics / airflow
1473,diesel engines,engine / power train
1474,mercedes-benz  design,
1475,heads up display,displays / instrumentation
1476,figures,
1477,interior loom,interior
1478,price point feature,Functionality & Features
1479,control over region,
1480,toggle switches,physical controls
1481,couch,seats
1482,back comfort,Comfort & Ergonomics
1483,choice,road terrain
1484,focus,
1485,door bin,storage & utility
1486,exhaust systems,exhaust
1487,fragrance,emotional & sensory experience
1488,wireless charging,connectivity / integration
1489,air intakes,aerodynamics / airflow
1490,swivel controller,physical controls
1491,metallic speakers,audio
1492,torque vectoring,engine/ power train
1493,front motor setup,engine/ power train
1494,mileage,Distance / Efficiency / Mileage
1495,engine automatic switch off,engine / power train
1496,comfy setting,Comfort & Ergonomics
1497,virtual cockpit,displays / instrumentation
1498,platform base,
1499,back room,climate / temperature control
1500,downhill speed regulation,acceleration
1501,0.1 litre,engine / power train
1502,entertainment display,displays / instrumentation
1503,rock crawling,road terrain
1504,cornering,cornering / grip
1505,device,road terrain
1506,quality,build quality / construction
1507,drivers,drive
1508,drive in town,drive
1509,overall seating position,seats
1510,v8 engine,engine / power train
1511,hatch,body type
1512,traction management,climate / temperature control
1513,emission,fuel / energy / charging
1514,nine speed automatic,transmission
1515,rear parking,parking
1516,wheel design,Design
1517,durability,value / cost
1518,mode switch,Driving Dynamics / Handling
1519,down storage,storage & utility
1520,bmw i a8,model / generic car terms
1521,material quality,interior materials & trim / finish
1522,front headlights,lighting
1523,20 inch wheel,wheels & tyres
1524,upgrade premium plus package,climate / temperature control
1525,smell,Emotional & Sensory Experience
1526,bmw x1,model / generic car terms
1527,gt three dry road,model / generic car terms
1528,c class,model / generic car terms
1529,styling,Design
1530,gearbox,transmission
1531,seatbelt adjustment,Comfort & Ergonomics
1532,gearshift modifications,transmission
1533,rear pillar,chassis / structural
1534,progress,
1535,central speaker,audio
1536,sport,Driving Dynamics / Handling
1537,center of gravity,
1538,fender flares,body class
1539,get stuff in boot,boot/cargo
1540,visual presence,Design
1541,heavy cornering,cornering / grip
1542,vibe,Emotional & Sensory Experience
1543,new x3,model / generic car terms
1544,starting the car,model / generic car terms
1545,a3 series,model / generic car terms
1546,graphics chip,displays / instrumentation
1547,satellite navigation system,navigation / mapping
1548,ac,climate / temperature control
1549,torque converter,engine / power train
1550,mapping,navigation / mapping
1551,steering wheel paddles,steering
1552,comfort plus mode,Comfort & Ergonomics
1553,rear spoiler,fuel / energy / charging
1554,receiving position,seats
1555,air scarf,aerodynamics / airflow
1556,carrying three headroom,passenger space
1557,new technology,Technology
1558,station wagon,body type
1559,trunk,boot/cargo
1560,remote features,Functionality & Features
1561,interior design philosophy,Design
1562,opening,doors
1563,rough surface,climate / temperature control
1564,lower lip,aerodynamics / airflow
1565,length,model / generic car terms
1566,dampers,suspension
1567,central arm rest,seats
1568,dials and buttons,model / generic car terms
1569,diesel with four turbos,engine/ power train
1570,rear seating,seats
1571,handling,Driving Dynamics / Handling
1572,seal between the doors,doors
1573,foot room,passenger space
1574,material,interior materials & trim / finish
1575,bits,
1576,camera special effects,cameras
1577,plugin hybrid,fuel / energy / charging
1578,fifth portion,
1579,functionality,Functionality & Features
1580,ride comfort,Comfort & Ergonomics
1581,water jets,windscreen / wipers
1582,middle chair,aerodynamics / airflow
1583,knee airbag,safety
1584,tray tables,storage & utility
1585,public roads,road terrain
1586,well being,Emotional & Sensory Experience
1587,touch pad,software / interaction
1588,center section,
1589,start stop,engine / power train
1590,user interface,climate / temperature control
1591,seat,seats
1592,output figures,engine/ power train
1593,entertainment system view,visibility & view
1594,steering ratio,steering
1595,carplay,connectivity / integration
1596,bmw four serious,model / generic car terms
1597,brake,brake
1598,bonnet,bonnet
1599,storage tray,storage & utility
1600,centre armrest,seats
1601,folding metal roof,roof
1602,load lift,boot/cargo
1603,eco pro mode,fuel / energy / charging
1604,seatback release,climate / temperature control
1605,sports plus mode,Driving Dynamics / Handling
1606,rest of the car,Functional Features
1607,cruising,driver assistance
1608,look,Design
1609,lateral grip,cornering / grip
1610,boot storage cover,boot/cargo
1611,rear engine,engine / power train
1612,centre console,
1613,acceleration noise,climate / temperature control
1614,new r8,model / generic car terms
1615,taxi drive,drive
1616,comfort adaptive,Comfort & Ergonomics
1617,touring body,body class
1618,tire pressure monitoring,wheels & tyres
1619,gear select,transmission
1620,driver assisstance technology,Technology
1621,steering wheel control,steering
1622,laser light headlights,lighting
1623,backseats,climate / temperature control
1624,deductive suspension,suspension
1625,microphones,audio
1626,m6 port,model / generic car terms
1627,get in and out -front,doors
1628,steering guidance,steering
1629,extra bits of trim,Design
1630,spring,suspension
1631,standard seats,seats
1632,tail lights design,Design
1633,net,
1634,styling appeal,Design
1635,reading light,lighting
1636,loading,boot/cargo
1637,hood,bonnet
1638,manoeuvre in traffic,road terrain
1639,leds,lighting
1640,new q5,model / generic car terms
1641,volvo xc60 drive,model / generic car terms
1642,design quality,Design
1643,gesture control,gesture / motion controls
1644,callipers,aerodynamics / airflow
1645,crystal knob,physical controls
1646,running cost,value / cost
1647,highway,road terrain
1648,saloon,body type
1649,door trim,Design
1650,overall picture,model / generic car terms
1651,seating position,seats
1652,release button for center console,model / generic car terms
1653,third row leg room,passenger space
1654,storage pouch,storage & utility
1655,high speed mobile internet,connectivity / integration
1656,roundabouts,cornering
1657,sport suspension mode,suspension
1658,town,road terrain
1659,option sheet,options & specifications
1660,information display,displays / instrumentation
1661,sports model,model / generic car terms
1662,front seat backs,climate / temperature control
1663,review of car,visibility & view
1664,slippery track,model / generic car terms
1665,leather,interior materials & trim / finish
1666,window surround,aerodynamics / airflow
1667,weight balance,weight
1668,climate control,climate / temperature control
1669,hybrid version,fuel / energy / charging
1670,split gate height,boot/cargo
1671,tire pressure monitor,wheels & tyres
1672,going downhill,road terrain
1673,sides,side section
1674,sports plus exhaust,exhaust
1675,center stack,climate / temperature control
1676,g class,model / generic car terms
1677,curvy road,road terrain
1678,middle setting,model / generic car terms
1679,performance amount,performance
1680,smooth road,road terrain
1681,x5,model / generic car terms
1682,tray storage,storage & utility
1683,glove box latch,boot/cargo
1684,get in,doors
1685,tronic gearbox,transmission
1686,torque vectoring rear differential,traction / stability
1687,electric seats,seats
1688,audi a3 lineup,model / generic car terms
1689,speed control,acceleration
1690,emotion,Emotional & Sensory Experience
1691,life in tires,wheels & tyres
1692,front space,climate / temperature control
1693,total range,Distance / Efficiency / Mileage
1694,performance,performance
1695,rough roads,road terrain
1696,sports car,model / generic car terms
1697,rs6 color,Design
1698,bmw remote control parking,model / generic car terms
1699,rest of the finish,interior materials & trim / finish
1700,aluminium,exterior materials & finish
1701,bumper,road terrain
1702,steering precision,Driving Dynamics / Handling
1703,glove box size,boot/cargo
1704,luxury package,climate / temperature control
1705,interior leather,interior
1706,led lights,lighting
1707,cushions,seats
1708,light cover,lighting
1709,autonomous driving,drive
1710,drift mode,Driving Dynamics / Handling
1711,windscreen wipers,windscreen / wipers
1712,bmw,model / generic car terms
1713,flaps,
1714,slip differential,traction / stability
1715,widescreen setting,model / generic car terms
1716,carpeting,model / generic car terms
1717,twist road,road terrain
1718,electronic shifter,transmission
1719,interior,interior
1720,s60 time,model / generic car terms
1721,i drive seven,drive
1722,bmw a8,model / generic car terms
1723,rough road,road terrain
1724,a4 boot,model / generic car terms
1725,headlight,lighting
1726,window lead,aerodynamics / airflow
1727,blind spot monitoring,safety
1728,dials,displays / instrumentation
1729,styling accents,Design
1730,back pillar,chassis / structural
1731,people over six foot,passenger space
1732,steering feel,Emotional & Sensory Experience
1733,reliability,value / cost
1734,exhaust flaps,exhaust
1735,air curtains,aerodynamics / airflow
1736,peddle operation,
1737,audi tron,model / generic car terms
1738,corner comfort mode,Comfort & Ergonomics
1739,driving environment,drive
1740,put together,build quality / construction
1741,rev. counter,displays / instrumentation
1742,usability,Functionality & Features
1743,visibility at the front,visibility & view
1744,driving environment lay out,drive
1745,design details,Design
1746,competition,
1747,0 to 60 acceleration,climate / temperature control
1748,track,climate / temperature control
1749,roadworks,Functionality & Features
1750,camber,road terrain
1751,useable,Functionality & Features
1752,dirt,road terrain
1753,surround view camera system,visibility & view
1754,twin turbo petrol,engine/ power train
1755,sitting,model / generic car terms
1756,regionalism,
1757,piano black trim,Design
1758,paint,exterior materials & finish
1759,room inside,interior
1760,adjustable side bolsters,seats
1761,magic body control camera,body class
1762,horses,performance
1763,keyless entry,doors
1764,style,Design
1765,paddles,physical controls
1766,portal pini k gearbox,transmission
1767,wind,aerodynamics / airflow
1768,door plastics,doors
1769,vehicle everything else,Functional Features
1770,laser lights,lighting
1771,straight driving,drive
1772,interior fit and finish,interior
1773,information,Technology
1774,middle section,passenger space
1775,charges,fuel / energy / charging
1776,top cover,roof
1777,usb charging ports,connectivity / integration
1778,detail lights,lighting
1779,go to 50,acceleration
1780,side trim,Design
1781,artificial noise,audio
1782,a one,model / generic car terms
1783,electronic,Technology
1784,trunks,boot/cargo
1785,backend capacity,climate / temperature control
1786,glovebox,boot/cargo
1787,softer suspension,suspension
1788,wheel turn,wheels & tyres
1789,shoulder room,passenger space
1790,wing mirror,mirrors
1791,top end,acceleration
1792,hood latches,bonnet
1793,foot down,acceleration
1794,wider items,
1795,selection mode,physical controls
1796,fit and finish,interior materials & trim / finish
1797,driving system,drive
1798,ends,
1799,brake field,brake
1800,overall length,model / generic car terms
1801,passenger space,climate / temperature control
1802,wheel options,software / interaction
1803,corner braking,brake
1804,quattro software,model / generic car terms
1805,dash angle,displays / instrumentation
1806,ski hatch,body type
1807,manual mode drive,transmission
1808,boot lip,aerodynamics / airflow
1809,arches,
1810,straps,
1811,sexiness,Emotional & Sensory Experience
1812,ceramic brakes,brake
1813,sub menus,software / interaction
1814,interior space,climate / temperature control
1815,drivability,Driving Dynamics / Handling
1816,materials quality,interior materials & trim / finish
1817,cervix fittings,model / generic car terms
1818,body shape,body class
1819,audi virtual cockpit,model / generic car terms
1820,s class driving experience,model / generic car terms
1821,augmented reality satellite navigation system,navigation / mapping
1822,diesel engine,engine / power train
1823,goc 43,model / generic car terms
1824,turbo lag,engine/ power train
1825,steering wheel shape,Design
1826,dry,road terrain
1827,glass elements on gear selector,transmission
1828,rear end,rear section
1829,going fast on motorway,acceleration
1830,air deflector,aerodynamics / airflow
1831,chassis braces,climate / temperature control
1832,speaker,audio
1833,traction control,climate / temperature control
1834,corner lamps,cornering
1835,cutaways for covers,exterior materials & finish
1836,rear seats,seats
1837,safety kit,safety
1838,maneuverability,
1839,feel,Emotional & Sensory Experience
1840,lettering,Design
1841,blind spots,safety
1842,changing gears using paddles,transmission
1843,door handles,doors
1844,power recovery,engine/ power train
1845,interior ambience,Emotional & Sensory Experience
1846,rear diffuser,aerodynamics / airflow
1847,cooling drink,
1848,utility,Functionality & Features
1849,country roads,road terrain
1850,gear,transmission
1851,bmw six series gt,model / generic car terms
1852,cabin features,Functionality & Features
1853,roof up and down,roof
1854,sight,visibility & view
1855,boot size,boot/cargo
1856,switches,physical controls
1857,dash design,Design
1858,accelerating,climate / temperature control
1859,center armrest,seats
1860,blinds,windows / glass
1861,shortcut buttons,model / generic car terms
1862,no lower lip,aerodynamics / airflow
1863,elbow room,passenger space
1864,glass elements,windows / glass
1865,fuel tank,fuel / energy / charging
1866,v8 engine drive,engine / power train
1867,air density,seats
1868,top,
1869,exhaust layer,exhaust
1870,stability,traction / stability
1871,boot,boot/cargo
1872,diamonds,interior materials & trim / finish
1873,iceberg covers,road terrain
1874,sports plus suspension,suspension
1875,shift lever,transmission
1876,estate,body type
1877,comfort,Comfort & Ergonomics
1878,voice recognition system,voice & commands
1879,petrol consumption,fuel / energy / charging
1880,automatic numbers,
1881,a3 platform,model / generic car terms
1882,outside,body class
1883,speed dialog system,acceleration
1884,driving experience,drive
1885,starting price,road terrain
1886,road around bends,road terrain
1887,alloys,wheels & tyres
1888,spacious,climate / temperature control
1889,x interface,climate / temperature control
1890,mercedes-benz c . l . a,model / generic car terms
1891,rotary dial,physical controls
1892,central hat,
1893,electricity usage,fuel / energy / charging
1894,weight loss,weight
1895,bmw x3,model / generic car terms
1896,entertainment system,software / interaction
1897,sport driving,drive
1898,room width wise,passenger space
1899,climate control buttons,model / generic car terms
1900,r three,model / generic car terms
1901,wifi connectivity,connectivity / integration
1902,satellite navigation,navigation / mapping
1903,engine noise,engine / power train
1904,cargo space,climate / temperature control
1905,steering wheel,steering
1906,cockpit,displays / instrumentation
1907,corner exiting traction,climate / temperature control
1908,front can,
1909,audi x3,model / generic car terms
1910,saloon s5 headroom,body type
1911,over speed,acceleration
1912,rear haunches,passenger space
1913,mercedes-benz,model / generic car terms
1914,trim (outside),Design
1915,widescreen,displays / instrumentation
1916,front two seats,seats
1917,three passengers,passenger space
1918,manual gear change,transmission
1919,quattro wheel drive,model / generic car terms
1920,exterior noise,exterior materials & finish
1921,gear change,transmission
1922,sticker price,road terrain
1923,folders on the backs of the chairs,climate / temperature control
1924,antiroll bars,traction / stability
1925,parking brake,brake
1926,armrest,seats
1927,front weight,
1928,interior design,Design
1929,power uplift,engine/ power train
1930,foot well,passenger space
1931,x two,
1932,rear windows,aerodynamics / airflow
1933,i three,model / generic car terms
1934,gt-r,model / generic car terms
1935,cost,value / cost
1936,load and unload,boot/cargo
1937,luxury seating package,climate / temperature control
1938,climb,road terrain
1939,aerodynamics,Driving Dynamics / Handling
1940,trunk size,boot/cargo
1941,changing plugs,
1942,front cabin,interior
1943,engine auto cut off,engine / power train
1944,drives,drive
1945,s tronic gearbox,model / generic car terms
1946,tether points,boot/cargo
1947,shift changes,transmission
1948,car wash,model / generic car terms
1949,digital key,connectivity / integration
1950,door locks,doors
1951,feel behind the steering,Emotional & Sensory Experience
1952,sport pack,climate / temperature control
1953,upgraded all round air suspension,suspension
1954,middle headroom,passenger space
1955,mpg,Distance / Efficiency / Mileage
1956,residual value,value / cost
1957,city drive,drive
1958,rear door bins,storage & utility
1959,sport and performance package,climate / temperature control
1960,view,visibility & view
1961,wipers,windscreen / wipers
1962,key start,keys & lock
1963,five and 1/2 1000 rpm,engine/ power train
1964,box,boot/cargo
1965,variable rate steering,steering
1966,exhaust sound,exhaust
1967,dynamic driving mode,drive
1968,digital dollars,value / cost
1969,boot features,Functionality & Features
1970,rear lights,lighting
1971,rear deck lid,boot/cargo
1972,nose,
1973,upgrade,
1974,condition,build quality / construction
1975,usablility,Comfort & Ergonomics
1976,auxiliary connectors,
1977,manual paddles,transmission
1978,rear visibility,visibility & view
1979,driver assistant pack,drive
1980,bulbs,lighting
1981,audi grills,model / generic car terms
1982,speaker sound system,audio
1983,two in the back,climate / temperature control
1984,door bins,storage & utility
1985,i drive,drive
1986,bumpers,road terrain
1987,visors,
1988,steering at speed,steering
1989,drive motor,drive
1990,window surrounds,aerodynamics / airflow
1991,safety features,Functionality & Features
1992,corner handling,Driving Dynamics / Handling
1993,quadrille wheel drive,drive
1994,designed,Design
1995,handling right,Driving Dynamics / Handling
1996,m performance version,model / generic car terms
1997,standard equipment,Equipment
1998,coat off,
1999,soft touch plastics,interior materials & trim / finish
2000,someone over six foot,passenger space
2001,builds,
2002,2.1 litre diesel engine,engine / power train
2003,auto bends,cornering
2004,panoramic sunroof,roof
2005,real wood,interior materials & trim / finish
2006,load height,boot/cargo
2007,mirror,mirrors
2008,details,design
2009,turning radius,cornering
2010,exhaust pipe surround,exhaust
2011,steering mode,steering
2012,liftgate,boot/cargo
2013,window,aerodynamics / airflow
2014,electrically operated steering column,steering
2015,road conditions,road terrain
2016,power trade,engine/ power train
2017,lower bumper,road terrain
2018,side profile,body class
2019,verdict,
2020,screen interface,climate / temperature control
2021,satin finish line,interior materials & trim / finish
2022,stopping power,engine/ power train
2023,view changes,visibility & view
2024,move,
2025,engineering,engine / power train
2026,rear executive seat package,climate / temperature control
2027,metal roof,roof
2028,smoke,exhaust
2029,firmness,suspension
