,gold outputs,predictions
270,"(None, None, None)","(None, None, None)"
271,"(C E400, more powerful, positive)","(C E400, more powerful, positive)"
272,"(competion choices, more exhilirating, negative); (competion choices, more attainable, negative); (competion choices, more responsible, negative); (competion choices, more American, neutral)","(competion choices, more exhilirating, negative); (competion choices, more attainable, negative); (competion choices, more responsible, negative); (competion choices, more American, neutral)"
273,"(price, higher on pricing spectrum, negative); (car, intriguing intersection between quality, comfort and performance., positive)","(price, higher on pricing spectrum, negative); (car, intriguing intersection between quality, comfort and performance."
274,"(car, compact luxury, positive); (buy, buyers might jump ship to this, positive)","(car, compact luxury, positive); (buy, buyers might jump ship to this, positive)"
275,"(version, convertible, neutral)","(version, convertible, neutral)"
276,"(performance, higher performing, positive); (feel, solidly put together, positive)","(performance, higher performing, positive); (feel, solidly put together, positive)"
277,"(steering response, not even hint of awkward delay, positive)","(steering response, not even hint of awkward delay, positive)"
278,"(experience, enjoy open air, positive); (structural integrity, uncertainity out of the way, positive)","(experience, enjoy open air, positive); (structural integrity, uncertainityen out of the way, positive)"
279,"(protection, really good, positive); (high speed, no annoying buffering, positive); (upward visibility, not obstructed, positive); (top, soft, neutral)","(protection, really good, positive); (high speed, no annoying buffering, positive); (upward visibility, not obstructed, positive); (top, soft, neutral)"
280,"(wind noise, supressed good, positive); (sound, few rattles, negative); (top down, looks better, positive); (top, soft, positive)","(wind noise, supressed good, positive); (sound, few rattles, negative); (looks, better, positive); (wind noise, looks better, positive); (wind noise, looks nice, positive)"
281,"(sound, glorious, positive)","(sound, glorious, positive)"
282,"(gearbox, can't pronounce, negative)","(gearbox, can't pronounce, negative)"
283,"(None, None, None)","(None, None, None)"
284,"(None, None, None)","(None, None, None)"
285,"(steering, real well, positive); (slip differential, limited, neutral); (suspension, adaptive, neutral); (suspension, multimode, neutral); (rear end, wider, neutral); (echaust system, electrically controlled, neutral); (leather, nappa, neutral)","(steering, real well, positive); (slip differential, limited, neutral); (suspension, adaptive, neutral); (suspension, multimode, neutral); (rear end, wider, neutral); (echaust, electrically controlled, neutral); (learther, nappa, neutral)"
286,"(GT, happy, positive); (GT price, lost less money, positive)","(GT, happy, positive); (GT price, lost less money, positive)"
287,"(None, None, None)","(None, None, None)"
288,"(driving experience, enhanced by ditching the top, positive)","(driving experience, enhanced by ditching the top, positive)"
289,"(None, None, None)","(None, None, None)"
290,"(None, None, None)","(None, None, None)"
291,"(interior, tops others, positive); (finish, utterly flawless, positive); (materials, not out of place, positive); (price, well over six figures, neutral); (car, strong resemblance to s class, positive); (car, downsized flagship, neutral); (car, exude a distinct air of sophistication and prestige, positive)","(interior, tops others, positive); (finish, utterly flawless, positive); (materials, not out of place, positive); (price, well over six figures, neutral); (car, strong resemblance to s class, positive); (car, downsized flagship, neutral); (car, exude a distinct air of sophistication and prestige, positive)"
292,"(None, None, None)","(None, None, None)"
293,"(interface operation, bit clunky, negative); (command, might take a few weeks, negative); (button, operates the main display pretty well thought out, positive)","(interface operation, bit clunky, negative); (command, might take a few weeks, negative); (button, operates the main display pretty well thought out, positive)"
294,"(front seats, exceptionally comfortable, positive); (front seats, supportive, positive); (ventilated seat option, wise for warmer climate, neutral)","(front seats, exceptionally comfortable, positive); (front seats, supportive, positive); (ventilated seat option, wise for warmer climate, neutral)"
295,"(moon roof shade, annoying, negative); (moon roof shade, sunlight hits your face, negative)","(moon roof shade, annoying, negative); (moon roof shade, sunlight hits your face, negative)"
296,"(back, not much to complain, positive); (leg room, abundance of, positive); (head room, abundance of, positive); (trunk, roomy, positive); (floor, nearly flat, positive); (sunshades, power, positive); (sunshades, conveniently located, positive)","(back, not much to complain, positive); (leg room, abundance of, positive); (head room, abundance of, positive); (trunk, roomy, positive); (floor, nearly flat, positive); (sunshades, power, positive); (sunshades, conveniently located, positive)"
297,"(road, cemented appeal, positive)","(road, cemented appeal, positive)"
298,"(car, business class, positive); (car, luxury, positive); (driving experience, screams a class above, positive); (modal, well equipped, positive); (ride quality, spot on, positive); (air suspension, multimodal, neutral)","(car, business class, positive); (car, luxury, positive); (driving experience, screams a class above, positive); (modal, well equipped, positive); (ride quality, spot on, positive); (air suspension, multimodal, neutral)"
299,"(steering, slightly to the left, negative); (steering, annoying, negative)","(steering, slightly to the left, negative); (steering, slightly to the left, negative)"
300,"(steering, precise, positive); (steering, proper weighted, positive); (corners, not exactly eager to be pitched, neutral)","(steering, precise, positive); (steering, proper weighted, positive); (corners, not exactly eager to be pitched, neutral)"
301,"(acceleration, perfectly acceptable, positive); (sound, not idol, positive); (base engine, might think unfit but wrong, positive); (E400 twin Turbo V six power, 25% more, positive); (E 43 a M G, top of performance hierarchy, positive); (design, super sedan, positive); (engines, all conventianlly powered, neutral); (transmission, buttery, positive); (transmission, smooth, positive)","(acceleration, perfectly acceptable, positive); (sound, not idol, positive); (performance, top of hierarchy, positive); (engine, hybrid, neutral); (engine, buttery, positive); (engine, smooth, positive); (drive, four wheel, neutral)"
302,"(cabriole, seven passenger wagon, neutral); (cabriole price entry point, higher, negative); (drive, all wheel, neutral)","(cabriole, seven passenger wagon, neutral); (cabriole price, higher entry point, negative); (drive, all wheel, neutral)"
303,"(windshield wipers, rain sensing, positive); (car, fitted with notable niceties, positive); (headlights, led, neutral)","(windshield wipers, rain sensing, positive); (car, fitted with notable niceties, positive); (headlights, led, neutral)"
304,"(driver seat, memory, positive)","(driver seat, memory, positive)"
305,"(front seats, multi contour, positive); (front seats, massage function, positive); (ambient lighting, beautifully arranged, positive)","(front seats, multi contour, positive); (front seats, massage function, positive); (ambient lighting, beautifully arranged, positive)"
306,"(trunk, handsfree, positive); (swerve control, active, positive)","(trunk, handsfree, positive); (swerve control, active, positive)"
307,"(car, spectacular piece of machinery, positive)","(car, spectacular piece of machinery, positive)"
308,"(car, significant, positive)","(car, significant, positive)"
309,"(damper suspension, good, positive); (suspension, aromatic, positive); (suspension, intelligent, positive); (suspension, electric, neutral); (springs, controlled individually, positive); (dampers, controlled individually, positive); (wheel, completely customizble, positive); (sand, can bounce the vehicle up and down, positive)","(damper suspension, good, positive); (suspension, aromatic, positive); (suspension, intelligent, positive); (suspension, electric, neutral); (springs, controlled individually, positive); (dampers, controlled individually, positive); (wheel, completely customizble, positive); (sand, can bounce the vehicle up and down, positive)"
310,"(ride, really nice, positive); (ride, comfortable, positive); (ride, Mercede ish, positive)","(ride, really nice, positive); (ride, comfortable, positive); (ride, Mercede ish, positive)"
311,"(ride quality, great, positive); (ride, gliding comfortably, positive)","(ride quality, great, positive); (ride, gliding comfortably, positive)"
312,"(None, None, None)","(None, None, None)"
313,"(X interface, all new, positive); (X interface, quite intuitive, positive)","(X interface, all new, positive); (X interface, quite intuitive, positive)"
314,"(safety features, extensive list, positive)","(safety features, extensive list, positive)"
315,"(None, None, None)","(None, None, None)"
316,"(electrical system, new, positive)","(electrical system, new, positive)"
317,"(sound, love, positive)","(sound, love, positive)"
318,"(sound, good, positive)","(sound, good, positive)"
319,"(trim pieces, chrome, neutral); (front seat, massage, positive)","(trim pieces, chrome, neutral); (front seat, massage, positive)"
320,"(exterior, vast improvements, positive); (front, more aggressive looking, positive); (look, athletic, positive); (rear view, not bad, neutral); (look, more distinctive, positive); (look, more defined, positive)","(exterior, vast improvements, positive); (front, more aggressive looking, positive); (look, athletic, positive); (rear view, not bad, neutral); (look, more distinctive, positive); (look, more defined, positive)"
321,"(wheelbase, longer, positive); (overhangs, shorter, neutral); (interior space, more, positive); (offroad, easier to get over, positive); (wheelbase, extended, positive); (thirdrow seats, all electronically operated, positive); (thirdrow seats, all fold, positive); (cargo floor, flat, positive); (cargo floor, plentiful space, positive)","(wheelbase, longer, positive); (overhangs, shorter, neutral); (interior space, more, positive); (offroad, easier to get over, positive); (wheelbase, extended, positive); (thirdrow seats, all electronically operated, positive); (thirdrow seats, all all fold, positive); (cargo floor, flat, positive); (cargo floor, plentiful space, positive)"
322,"(None, None, None)","(None, None, None)"
323,"(None, None, None)","(None, None, None)"
324,"(upgrades, quite nice, positive); (innovations, quite nice, positive)","(upgrades, quite nice, positive); (innovations, quite nice, positive)"
325,"(s class, lastest, positive); (s class, nothing short of spectacular, positive)","(s class, lastest, positive); (s class, nothing short of spectacular, positive)"
326,"(technology, advanced, positive); (car, preserves s class greatness, positive)","(technology, advanced, positive); (car, preserves s class greatness, positive)"
327,"(amenities, chockfull, positive)","(amenities, chockfull, positive)"
328,"(infotaintment platform, not intuitive right off the bat, positive); (infotaintment platform, easiest system to use, positive); (amenities, easy to use, positive)","(infotaintment platform, not intuitive right off the bat, positive); (infotaintment platform, easiest system to use, positive); (amenities, easy to use, positive)"
329,"(display, high resolution, positive); (display, doesn't hurt, neutral)","(display, high resolution, positive); (display, doesn't hurt, neutral)"
330,"(surround view parking, best, positive); (parallel parking, autonomous, positive); (trunk, handsfree, positive); (cup holders, heated, positive); (cup holders, cooled, positive)","(surround view parking, best, positive); (parallel parking, autonomous, positive); (trunk, handsfree, positive); (cup holders, heated, positive); (cup holders, cooled, positive)"
331,"(steering wheel, heated, positive); (front armrest, heated, positive); (rear armrest, heated, positive); (car, simulated hot stone massage, positive)","(steering wheel, heated, positive); (front armrest, heated, positive); (rear armrest, heated, positive); (car, simulated hot stone massage, positive)"
332,"(Mercedes, reign supreme in luxury exotica, positive); (Mercedes, nearly flawless, positive); (every material, highest quality, positive); (every material, constructed with impeccable detail to attention, positive); (car, luxury, positive); (taste, one step further, positive); (comfort, one step further, positive); (opulence, one step further, positive)","(Mercedes, reign supreme luxury exotica, positive); (Mercedes, nearly flawless, positive); (every material, highest quality, positive); (every material, constructed with impeccable detail to attention, positive); (car, luxury, positive); (taste, one step further, positive); (comfort, one step further, positive); (opulence, one step further, positive)"
333,"(persona, ultra exclusive, positive)","(persona, ultra exclusive, positive)"
334,"(rear seating, screams executive class, positive); (foot and leg rest, power operated, positive); (foot and leg rest, optional, neutral)","(rear seating, screams executive class, positive); (foot and leg rest, power operated, positive); (foot and leg rest, optional, neutral); (rear seating, rear seating, neutral); (rear seating, spoof, positive); (foot and leg rest, not funny, negative); (foot and leg rest, optional, neutral)"
335,"(tray tables, fold out, neutral); (headrest pillows, detachable, neutral); (seats, heated, positive); (seats, cooled out, positive)","(tray tables, fold out, neutral); (headrest pillows, detachable, neutral); (seats, heated, positive); (seats, cooled out, positive)"
336,"(fuel efficient, slightly more, positive); (engine, a bit quicker, positive); (drive, rear wheel, neutral)","(fuel efficient, slightly more, positive); (engine, a bit quicker, positive); (drive, rear wheel, neutral)"
337,"(price, significantly more expensive, negative); (engine, slightly faster, positive)","(price, significantly more expensive, negative); (engine, slightly faster, positive)"
338,"(None, None, None)","(None, None, None)"
339,"(emotion, tough sell, negative)","(emotion, tough sell, negative)"
340,"(driving experience, luxury car, positive)","(driving experience, luxury car, positive)"
341,"(sound, cabin so quiet, positive); (ride quality, borders on flawless, positive); (camera, stereoscopic, positive); (bumps, virtually elliminated bod movement, positive)","(sound, cabin so quiet, positive); (ride quality, borders on flawless, positive); (camera, stereoscopic, positive); (bumps, virtually elliminated bod movement, positive)"
342,"(air suspension, coolest feature, positive); (camera, coolest feature, positive)","(air suspension, coolest feature, positive); (camera, coolest feature, positive)"
343,"(WiFi speed, sluggish, negative); (cruise control, intrusive, negative)","(WiFi speed, sluggish, negative); (cruise control, intrusive, negative)"
344,"(standard equipment, more than extensive list, positive); (price, $2000 price cut, positive)","(standard equipment, more than extensive list, positive); (price, $2000 price cut, positive)"
345,"(doors, soft close, positive); (voice recognition, advanced, positive); (cabin, classy, positive); (ambient lighting, led, neutral)","(doors, soft close, positive); (voice recognition, advanced, positive); (cabin, classy, positive); (ambient lighting, led, neutral)"
346,"(cruise control, full rein, positive); (cruise control, starts, stops, steers in traffic, positive)","(cruise control, full rein, positive); (cruise control, starts, stops, steers in traffic, positive)"
347,"(feature set, more contemporary, positive); (newest s class, grandeur, positive); (newest s class, prestige, positive); (newest s class price, less than half the cost, positive)","(feature set, more contemporary, positive); (newest s class, grandeur, positive); (newest s class, prestige, positive); (newest s class price, less than half the cost, positive)"
348,"(s class, finest choice, positive)","(s class, finest choice, positive)"
349,"(driving, powerful engaging, positive); (driving, exceptionally refined, positive); (driving, love hate relationship, neutral)","(driving, powerful engaging, positive); (driving, exceptionally refined, positive); (driving, love hate relationship, neutral)"
350,"(s class, luxury, positive); (type, sedan, neutral)","(s class, luxury, positive); (type, sedan, neutral)"
351,"(None, None, None)","(None, None, None)"
352,"(gear changes, rapid, positive); (gear changes, near seamlees, positive); (engine, quick enough, positive); (looks, racy, positive); (lag, only a hint, positive); (engine, responsive, positive)","(gear changes, rapid, positive); (gear changes, near seamlees, positive); (engine, quick enough, positive); (looks, racy, positive); (lag, only a hint, positive); (engine, responsive, positive)"
353,"(character, spunky, neutral); (efficiency, surprisingly efficient, positive); (car, sexier, positive); (car, hybrid, positive)","(character, spunky, neutral); (efficiency, surprisingly efficient, positive); (car, sexier, positive); (car, hybrid, positive)"
354,"(engine start stop system, works pretty good, positive); (engine start stop system, not too intrusive, positive); (engine start stop system, little vibration, neutral); (sound, little, neutral)","(engine start stop system, works pretty good, positive); (engine start stop system, not too intrusive, positive); (engine start stop system, little vibration, neutral); (sound, little, neutral)"
355,"(car, plenty playful, positive); (steering, quick, positive); (steering, precise, positive); (steering, engaging, positive); (corner, really have to be pushing it to feel understeer, neutral)","(car, plenty playful, positive); (steering, quick, positive); (steering, precise, positive); (steering, engaging, positive); (steering corners, really have to be pushing it to feel understeer, neutral); (car, front drive, neutral)"
356,"(None, None, None)","(None, None, None)"
357,"(drive, little bit stiff, neutral)","(drive, little bit stiff, neutral)"
358,"(ride, little bit better, positive); (performance, high, positive); (suspension, sport, positive)","(ride, little bit better, positive); (performance, high, positive); (suspension, sport, positive)"
359,"(brakes, feel good, positive); (pedal, nice, positive); (pedal, firm, positive)","(brakes, feel good, positive); (pedal, nice, positive); (pedal, firm, positive)"
360,"(sound, pretty quiet, positive)","(sound, pretty quiet, positive)"
361,"(drives, well, positive); (price, cheap, positive); (interior, looks perfectly premium, positive); (interior, feels perfectly premium, positive)","(drives, well, positive); (price, cheap, positive); (interior, looks perfectly premium, positive); (interior, feels perfectly premium, positive)"
362,"(overall, nice, positive); (overall, sporty, positive); (bits, few plasticky, negative)","(overall, nice, positive); (overall, sporty, positive); (bits, few plasticky, negative)"
363,"(interior space, major shortcoming, negative); (front seat, fine, neutral); (head room, fine, neutral); (elbow room, fine, neutral); (center stack, crowds inward leg, negative); (rear seat headroom, tight in all positions, negative); (getting back, real challenge, negative)","(interior space, major shortcoming, negative); (front seat, fine, neutral); (head room, fine, neutral); (elbow room, fine, neutral); (center stack, crowds inward leg, negative); (rear seat headroom, tight in all positions, negative); (getting back, real challenge, negative)"
364,"(roof line, dipping, negative); (roof line, look cool, positive)","(roof line, dipping, negative); (roof line, look cool, positive)"
365,"(climate controls, placed really low, negative); (climate controls, far from driver's sight, negative)","(climate controls, placed really low, negative); (climate controls, far from driver's sight, negative)"
366,"(front seat backs, could be softer, negative); (boslters, put pressur on your shoulders, negative); (front seat, comfortable enough, neutral); (headrest, integrated, neutral); (front seat, look cool, neutral); (front seat, practical, positive)","(front seat backs, could be softer, negative); (boslters, put pressur on your shoulders, negative); (front seat, comfortable enough, neutral); (headrest, integrated, neutral); (front seat, look cool, neutral); (front seat, practical, positive)"
367,"(trunk space, decent, positive); (rear seats, split folding, positive)","(trunk space, decent, positive); (rear seats, split folding, positive)"
368,"(None, None, None)","(None, None, None)"
369,"(price, comparitive bargain, positive); (price, still priced competitively, positive)","(price, comparitive bargain, positive); (price, still priced competitively, positive)"
370,"(seats, power, positive); (seats, memory, positive); (wipers, rain sensing, positive)","(seats, power, positive); (seats, memory, positive); (wipers, rain sensing, positive)"
371,"(None, None, None)","(None, None, None)"
372,"(front seat, heated, positive); (infotaintment system, upgraded, positive)","(front seat, heated, positive); (infotaintment system, upgraded, positive)"
373,"(cruise control, dynamic, neutral); (sunroof, lovely, positive); (sunroof, panomaric, neutral); (parking system, automatic, neutral)","(cruise control, dynamic, neutral); (sunroof, lovely, positive); (sunroof, panomaric, neutral); (parking system, automatic, neutral)"
374,"(technology, calvacade of future rich goodness, positive)","(technology, calvacade of future rich goodness, positive)"
375,"(attitude, angrier, positive); (clutch, performance tuned, positive)","(attitude, angrier, positive); (clutch, performance tuned, positive)"
376,"(interior, tight, negative); (car, luxury for commoners, neutral); (handling, satisfying, positive); (style, ton of, positive); (fuel economy, great, positive); (value, solid, positive)","(interior, tight, negative); (car, luxury for commoners, neutral); (handling, satisfying, positive); (style, ton of, positive); (fuel economy, great, positive); (value, solid, positive)"
377,"(None, None, None)","(None, None, None)"
378,"(None, None, None)","(None, None, None)"
379,"(car, sports, neutral); (s8, striking resemblance with 300 SL, neutral); (hood, incredibly long, neutral); (rear deck lid, short, neutral); (rear deck lid, low greenhouse, neutral)","(car, sports, neutral); (s8, striking resemblance with 300 SL, neutral); (hood, incredibly long, neutral); (rear deck lid, short, neutral); (rear deck lid, low greenhouse, neutral)"
380,"(doors, most striking feature, positive); (doors, not take much effort, positive); (doors, open pretty easily, positive)","(doors, most striking feature, positive); (doors, not take much effort, positive); (doors, open pretty easily, positive)"
381,"(doors, open high enough, positive); (get out, no issues, positive)","(doors, open high enough, positive); (get out, no issues, positive)"
382,"(SL s AMG, ultimate Mercedes-Benz, positive)","(SL s AMG, ultimate Mercedes-Benz, positive)"
383,"(doors, wings like, positive); (doors, inspiration, positive); (SLs, feature airplaine cockpit, positive); (car, made to fly metaphorically, positive); (feature, number of unique, positive); (gear selector, thruster like, neutral); (air events, jet engine like, neutral); (theme, jet, neutral); (car, abudance of aluminium, neutral); (car, luxury touches, positive); (seating, designer leather, positive); (surfaces, Calcaterra clad, positive); (surfaces, soft, positive); (stitching, contrast, positive)","(doors, wings like, positive); (doors, inspiration, positive); (car, made to fly metaphorically, positive); (feature, number of unique, positive); (gear selector, thruster like, neutral); (air events, jet engine like, neutral); (theme, jet, neutral); (car, abudance of aluminium, neutral); (car, luxury touches, positive); (seating, designer leather, positive); (surfaces, soft Calcaterra clad, positive); (stastering, contrasted,"
384,"(car, supercar, positive); (car, more of a grand touring, neutral); (cargo area, considerable amount of room for luggage, positive)","(car, supercar, positive); (car, more of a grand touring, neutral); (cargo area, considerable amount of room for luggage, positive)"
385,"(wheels, eye catching, positive); (design, intriguing, positive)","(wheels, eye catching, positive); (design, intriguing, positive)"
386,"(hood, long, neutral); (engine, naturally aspirated, positive); (engine, exclusive, positive)","(hood, long, positive); (engine, naturally aspirated, positive); (engine, exclusive, positive)"
387,"(car, by no means slow, positive); (car, supercar, positive); (gear shift, a little slower than thought, negative)","(car, by no means slow, positive); (car, supercar, positive); (gear shift, a little slower than thought, negative)"
388,"(manual mode transmission, gets most out of the car, positive)","(manual mode transmission, gets most out of the car, positive)"
389,"(corner handling, not so attractive, negative); (corner handling, not so great, negative)","(corner handling, not so attractive, negative); (corner handling, not so great, negative)"
390,"(sounds, completely enamored, positive); (engine, show tiger, negative)","(sounds, completely enamored, positive); (engine, show tiger, negative)"
391,"(steering, responsive, positive); (centre of gravity, low, positive); (suspension, double wishbone, positive); (suspension, sport, positive); (car, approachable, positive); (car, supercar, positive); (body, extensive use of lightweight aluminum, positive); (weight, lightweight, positive)","(steering, responsive, positive); (centre of gravity, low, positive); (car, supercar, positive); (body, extensive use of lightweight aluminum, positive); (weight, lightweight, positive)"
392,"(None, None, None)","(None, None, None)"
393,"(wheels, lightweight, positive); (grip, optimum grip obsolesence, positive)","(wheels, lightweight, positive); (grip, optimum grip obsolesence, positive)"
394,"(tire, continental, neutral); (tire design, exclusive, positive)","(tire, continental, neutral); (tire design, exclusive, positive)"
395,"(stops, fast, positive); (stops, faster, positive)","(stops, fast, positive); (stops, faster, positive)"
396,"(price, more than Audi R8, negative); (price, substantially less than Lexus, positive)","(price, more than Audi R8, negative); (price, substantially less than Lexus, positive)"
397,"(performance, exceptional, positive); (performance, soul stirring, positive); (performance, exhausting, positive); (interior, gorgeous, positive); (looks, stunning, positive)","(performance, exceptional, positive); (performance, soul stirring, positive); (performance, exhausting, positive); (interior, gorgeous, positive); (looks, stunning, positive)"
398,"(car, supercar, positive)","(car, supercar, positive)"
399,"(size, small, neutral)","(size, small, neutral)"
400,"(looks, effortlessly beautiful, positive); (looks, air of contemporary elegance, positive); (GLC, longer, positive); (GLC, wider, positive); (GLC, lighter, positive)","(looks, effortlessly beautiful, positive); (looks, air of contemporary elegance, positive); (GLC, longer, positive); (GLC, wider, positive); (GLC, lighter, positive)"
401,"(driving experience, butter, positive)","(driving experience, butter, positive)"
402,"(sound, quiter than very quiet, positive)","(sound, quiter than very quiet, positive)"
403,"(sightlines, excellent in every direction except up fromthe steering to the brakes, neutral)","(sightlines, excellent in every direction except up fromthe steering to the brakes to ride quality to a turning raider, positive)"
404,"(gearbox, middling, neutral); (horsepower, good for, neutral); (fuel economy, largely mirror DA, neutral); (hybrid engine, interesting for efficiency, positive); (car, bonafide green machine, positive); (output figures, impressive, positive); (acceleration, serious straight line, positive)","(car, bona fide green machine, positive); (output figures, impressive, positive); (drive, all wheel, neutral)"
405,"(performance, top of the pyramid, positive); (suspension, AMG tuned air, positive); (drive, all wheel, neutral)","(performance, top of the pyramid, positive); (suspension, AMG tuned, positive); (drive, all wheel, neutral)"
406,"(inside, beyond expected refinements, positive); (arm rest, cushy, positive); (display, high resoultion, positive); (trim, premium, positive); (inside, subtle nuances win us over, positive); (events, make satisfying click, positive)","(inside, beyond expected refinements, positive); (arm rest, cushy, positive); (display, high resoultion, positive); (trim, premium, positive); (inside, subtle nuances win us over, positive); (events, make satisfying click, positive)"
407,"(head rest, well padded, positive); (head rest, adjust for a raft, positive); (materials quality, ranking highest, positive); (materials quality, soft touches, positive); (size, mid size, neutral)","(head rest, well padded, positive); (head rest, adjust for a raft, positive); (materials quality, ranking highest, positive); (materials quality, soft touches, positive); (size, mid size, neutral); (size, mid size, neutral)"
408,"(None, None, None)","(None, None, None)"
409,"(display, high resolution, positive); (touch pad, ergonomically shaped, positive); (gesture control, becomes pleasant to use after only a few days, positive)","(display, high resolution, positive); (touch pad, ergonomically shaped, positive); (gesture control, becomes pleasant to use after only a few days, positive)"
410,"(practicality, master of pragmatic arts, positive); (rear leg room, abundance of, positive); (headroom, abundance of, positive); (storage, numerous, positive); (underfloor compartment, handy, positive)","(practicality, master of pragmatic arts, positive); (rear leg room, abundance of, positive); (headroom, abundance of, positive); (storage, numerous, positive); (underfloor compartment, handy, positive)"
411,"(load floor, completely flush, positive); (load floor, free of annoying gaps, positive); (load floor, free of protrusions, positive)","(load floor, completely flush, positive); (load floor, free of annoying gaps, positive); (load floor, free of protrusions, positive)"
412,"(front seats, move forward automatically, positive)","(front seats, move forward automatically, positive)"
413,"(rear quarters, not perfect, negative)","(rear quarters, not perfect, negative)"
414,"(GLC C300, well furnished with goodies, positive); (liftgate, power, positive); (windshield wipers, rain sensing, positive); (driver seat, supremely comfortable, positive); (driver seat, 14 way adjustable, positive); (driver seat, extendable support, positive); (driver seat, three position memory, positive)","(GLC C300, well furnished with goodies, positive); (liftgate, power, positive); (windshield wipers, rain sensing, positive); (driver seat, supremely comfortable, positive); (driver seat, 14 way adjustable, positive); (driver seat, supremely comfortable, positive); (driver seat, 14 way adjustable, extendable support, positive); (driver seat, three position memory, positive)"
415,"(trappings, high end, positive); (front seats, leather, positive); (front seats, heated, positive); (front seats, ventilated, positive); (steering, heated, positive); (cruise control, adaptive, positive)","(trappings, high end, positive); (front seats, leather, positive); (front seats, heated, positive); (front seats, ventilated, positive); (steering, heated, positive); (cruise control, adaptive, positive)"
416,"(audio, premium, positive); (headlights, full led, positive); (corner lamps, active, positive); (price, respectable$52000, positive); (leather, exclusive nappa, positive); (roof, moon, neutral); (roof, panaramic, neutral); (air suspension, dramatic, positive); (air suspension, spotty reliability record, negative); (air suspension, negligible performance benefits, negative); (air suspension, not recommend, negative); (sticker price, inflates to over $60000, negative)","(audio, premium, positive); (headlights, full led, positive); (corner lamps, active, positive); (price, respectable$52000, positive); (learther, exclusive nappa, positive); (roof, moon, neutral); (roof, panaramic, neutral); (air suspension, dramatic, positive); (air suspension, spotty reliability record, negative); (air suspension, negligible performance benefits, negative); (air suspension, not recommend, negative); (sticker price, inflates to over $60000, negative"
417,"(standard feature content, similarly priced alternatives can't match, positive)","(standard feature content, similarly priced alternatives can't match, positive)"
418,"(X1, impressively well rounded, positive); (X1, accurate, positive); (GLC, X1 tops out where GLC begins, positive)","(X1, impressively well rounded, positive); (X1, accurate, positive); (GLC, X1 tops out where GLC begins, positive)"
419,"(residual value, highest, positive); (type, SUV, neutral); (size, compact, neutral); (car, luxury, positive)","(residual value, highest, positive); (type, SUV, neutral); (size, compact, neutral); (car, luxury, positive)"
420,"(car, luxurrious, positive); (quality, one step further, positive); (comfort, one step further, positive); (refinement, one step further, positive); (value, decent, positive); (car, luxury, positive)","(car, luxurrious, positive); (quality, one step further, positive); (comfort, one step further, positive); (refinement, one step further, positive); (value, decent, positive); (car, luxury, positive); (quality, GOC, one step further, positive); (design, GOC takes shape, positive); (car, refined, positive); (value, considering its size, practical, positive); (car, luxury, positive)"
421,"(size, midsize, neutral); (type, SUV, neutral)","(size, midsize, neutral); (type, SUV, neutral)"
422,"(car, very much Mercedes, positive); (steering, light, neutral); (brake, light, neutral); (steering, squishy, neutral); (brake, squishy, neutral); (steering, soft, neutral); (steering, disconnected, negative); (suburban dwelling, kind of dwelling, positive)","(car, very much Mercedes, positive); (steering, light, neutral); (brake, light, neutral); (steering, squishy, neutral); (brake, squishy, neutral); (steering, soft, neutral); (steering, disconnected, negative); (suburban dwelling, kind of dwelling, positive)"
423,"(drive, easy, positive); (ride, well controlled, positive); (interior, welcoming, positive)","(drive, easy, positive); (ride, well controlled, positive); (interior, welcoming, positive)"
424,"(materials, premium, positive); (materials, pefectly in line with Mercedes, positive)","(materials, premium, positive); (materials, pefectly in line with Mercedes, positive)"
425,"(image, upscale, positive); (front, spacious, positive); (rear seating, spacious, positive); (boot capacity, generous, positive)","(image, upscale, positive); (front, spacious, positive); (rear seating, spacious, positive); (boot capacity, generous, positive)"
426,"(seats dropping, let down, negative); (seats dropping, no releases in rear cargo area, negative); (seat release, awkward, negative)","(seats dropping, let down, negative); (seats dropping, no releases in rear cargo area, negative); (seat release, awkward, negative)"
427,"(outward visibility, hurt by side pillars, negative); (side pillars, fix, neutral)","(outward visibility, hurt by side pillars, negative); (side pillars, fix, neutral)"
428,"(sun visors, not extend, negative); (automatic engine shutoff, occasionally engages, negative)","(sun visors, not extend, negative); (automatic engine shutoff, occasionally engages, negative)"
429,"(automatic engine shutoff, subtle, neutral); (side mirrors, kind of nice, positive); (side mirrors, wider, positive)","(automatic engine shutoff, subtle, neutral); (side mirrors, kind of nice, positive); (side mirrors, wider, positive)"
430,"(aura, rich, positive); (aura, premium, positive); (aura, worth possessing, positive)","(aura, rich, positive); (aura, premium, positive); (aura, worth possessing, positive)"
431,"(2.1 leader Turbo Diesel four cylinde, fairly efficient, neutral); (G l E 63, sassy version, positive); (torque, identical, neutral)","(2.1 leader Turbo Diesel four cylinde, fairly efficient, positive); (G l E 63, sassy, positive); (towing rating, reduced, positive); (all wheel drive, standard, neutral); (all wheel drive, attractive, positive); (engine, very very similar, neutral)"
432,"(things, more complicated, negative)","(things, more complicated, negative)"
433,"(drive, all wheel, neutral); (price, same as BMW X5, neutral)","(drive, all wheel, neutral); (price, same as BMW X5, neutral)"
434,"(None, None, None)","(None, None, None)"
435,"(price, same as Q7, neutral); (seating flexibility, Q7 offers more, positive)","(price, same as Q7, neutral); (seating flexibility, Q7 offers more, positive)"
