aspect,base_category,MAIN_CATEGORY
over six foot,passenger space,INTERIOR / COMFORT / ERGONOMICS
beeping,audio,EMOTIONAL / SENSORY / VISUAL
cruise,driver assistance,SAFETY
rs6,model / generic car terms,GENERAL INFORMATION
boot spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
ventilation controls,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
playing music,audio,EMOTIONAL / SENSORY / VISUAL
headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
fixed covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
moon roof shade,roof,EXTERIOR / STYLING / DESIGN
engine notes,engine / power train,POWERTRAIN / PERFORMANCE
thirdrow seats,seats,INTERIOR / COMFORT / ERGONOMICS
door open,doors,EXTERIOR / STYLING / DESIGN
cubby space,passenger space,INTERIOR / COMFORT / ERGONOMICS
third row space,passenger space,INTERIOR / COMFORT / ERGONOMICS
s line,packages / trims / variants,GENERAL INFORMATION
radio,audio,EMOTIONAL / SENSORY / VISUAL
getting back,passenger space,INTERIOR / COMFORT / ERGONOMICS
releases,packages / trims / variants,GENERAL INFORMATION
manual transmission,transmission,POWERTRAIN / PERFORMANCE
lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
carrying rear passengers,passenger space,INTERIOR / COMFORT / ERGONOMICS
ingredients,generic description & miscellaneous,GENERAL INFORMATION
menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
reversing with assistant,driver assistance,SAFETY
electricity,fuel / energy / charging,POWERTRAIN / PERFORMANCE
front discs,brake,HANDLING / DYNAMICS
boot volume,boot / cargo,FUNCTIONAL / UTILITY FEATURES
front seats sound,audio,EMOTIONAL / SENSORY / VISUAL
concierge service,functionality & features,FUNCTIONAL / UTILITY FEATURES
brake callipers,brake,HANDLING / DYNAMICS
speeding,acceleration,POWERTRAIN / PERFORMANCE
crossover,body type,EXTERIOR / STYLING / DESIGN
aura,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
steering reflexes,steering,HANDLING / DYNAMICS
camera system,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
underline support,chassis / structural,STRUCTURAL
zero petrol use,fuel / energy / charging,POWERTRAIN / PERFORMANCE
going round,road terrain,HANDLING / DYNAMICS
surfaces,road terrain,HANDLING / DYNAMICS
two litre diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
surface,road terrain,HANDLING / DYNAMICS
traffic updates,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
digital gauge,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
legroom second row,passenger space,INTERIOR / COMFORT / ERGONOMICS
discount,value / cost,DISTANCE / MEASUREMENT /  COST
boot floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
a8,model / generic car terms,GENERAL INFORMATION
driving sensation,drive,POWERTRAIN / PERFORMANCE
cabin layout,interior,INTERIOR / COMFORT / ERGONOMICS
front seating,seats,INTERIOR / COMFORT / ERGONOMICS
travelling,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
temperature,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
anti friction turbo bearings,engine / power train,POWERTRAIN / PERFORMANCE
isolation,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
normal wheel base version,generic description & miscellaneous,GENERAL INFORMATION
windows,windows / glass,EXTERIOR / STYLING / DESIGN
model x,model / generic car terms,GENERAL INFORMATION
parkability,parking,FUNCTIONAL / UTILITY FEATURES
standard entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
energy,fuel / energy / charging,POWERTRAIN / PERFORMANCE
engine stop start feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
audio systems,audio,EMOTIONAL / SENSORY / VISUAL
electric adjustment (steering),steering,HANDLING / DYNAMICS
head restraints,seats,INTERIOR / COMFORT / ERGONOMICS
sound level,audio,EMOTIONAL / SENSORY / VISUAL
battery,fuel / energy / charging,POWERTRAIN / PERFORMANCE
graphics,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
architecture platform,chassis / structural,STRUCTURAL
four wheel drive system,drive,POWERTRAIN / PERFORMANCE
parking assistant plus,driver assistance,SAFETY
second row roof,roof,EXTERIOR / STYLING / DESIGN
quattro engine,engine / power train,POWERTRAIN / PERFORMANCE
carsick people,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
rs5 looks,design,EMOTIONAL / SENSORY / VISUAL
seating tunnel,seats,INTERIOR / COMFORT / ERGONOMICS
audi a7,model / generic car terms,GENERAL INFORMATION
departure angle,road terrain,HANDLING / DYNAMICS
gestures,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
rear wheel steering,steering,HANDLING / DYNAMICS
new engine,engine / power train,POWERTRAIN / PERFORMANCE
offroading,road terrain,HANDLING / DYNAMICS
going faster,acceleration,POWERTRAIN / PERFORMANCE
voice recognition,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
marina leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
dynamic mode,driving dynamics / handling,HANDLING / DYNAMICS
standard engine power,engine / power train,POWERTRAIN / PERFORMANCE
bmw a8 plug in hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
audi presence,generic description & miscellaneous,GENERAL INFORMATION
slabs,interior,INTERIOR / COMFORT / ERGONOMICS
get in and out,doors,EXTERIOR / STYLING / DESIGN
indicators,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
boot overall capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
find the right gear,transmission,POWERTRAIN / PERFORMANCE
throttle (sport),engine / power train,POWERTRAIN / PERFORMANCE
audi a one s line,model / generic car terms,GENERAL INFORMATION
surround view cameras,visibility & view,SAFETY
driving assistance package,driver assistance,SAFETY
false floor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
nintendo entertainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
fuel efficient,fuel / energy / charging,POWERTRAIN / PERFORMANCE
rev counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
usb,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
upgrades,options & specifications,GENERAL INFORMATION
every material,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
3 50 d price,value / cost,DISTANCE / MEASUREMENT /  COST
gated shifter,transmission,POWERTRAIN / PERFORMANCE
air purification system with perfume,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
reversing assistant,driver assistance,SAFETY
bluetooth,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
down the door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
bowers and wilkins diamond surround sound system,audio,EMOTIONAL / SENSORY / VISUAL
charging points,fuel / energy / charging,POWERTRAIN / PERFORMANCE
remote control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
room,passenger space,INTERIOR / COMFORT / ERGONOMICS
overall quality,quality & durability,GENERAL INFORMATION
automatic performance,performance,POWERTRAIN / PERFORMANCE
stronic transmission,transmission,POWERTRAIN / PERFORMANCE
digital screens,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
third row seats,seats,INTERIOR / COMFORT / ERGONOMICS
back tire,wheels & tyres,HANDLING / DYNAMICS
sport suspension,suspension,HANDLING / DYNAMICS
rear legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
no load lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
over six foot tall,passenger space,INTERIOR / COMFORT / ERGONOMICS
satnav screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
interior light pattern,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
throttle,engine / power train,POWERTRAIN / PERFORMANCE
family seat,seats,INTERIOR / COMFORT / ERGONOMICS
digital controls,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
mercedes-benz accents,design,EMOTIONAL / SENSORY / VISUAL
v six,engine / power train,POWERTRAIN / PERFORMANCE
glovebox size,boot / cargo,FUNCTIONAL / UTILITY FEATURES
plastic head,exterior materials & finish,EXTERIOR / STYLING / DESIGN
grill,grill,EXTERIOR / STYLING / DESIGN
wheel arch,exterior materials & finish,EXTERIOR / STYLING / DESIGN
rear seat control,seats,INTERIOR / COMFORT / ERGONOMICS
back legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
bmw backseat,seats,INTERIOR / COMFORT / ERGONOMICS
sl,model / generic car terms,GENERAL INFORMATION
engine starting,engine / power train,POWERTRAIN / PERFORMANCE
paddle shifters,transmission,POWERTRAIN / PERFORMANCE
tired,wheels & tyres,HANDLING / DYNAMICS
sporting suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
practical side,storage & utility,FUNCTIONAL / UTILITY FEATURES
automatic box,transmission,POWERTRAIN / PERFORMANCE
goes over bumps,road terrain,HANDLING / DYNAMICS
space saver,passenger space,INTERIOR / COMFORT / ERGONOMICS
cabin noise,interior,INTERIOR / COMFORT / ERGONOMICS
side collision avoidance system,safety,SAFETY
trip,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
speakers,audio,EMOTIONAL / SENSORY / VISUAL
lighting colors,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
steering controls,steering,HANDLING / DYNAMICS
around the bend,driving dynamics / handling,HANDLING / DYNAMICS
launch control system,acceleration,POWERTRAIN / PERFORMANCE
running costs,value / cost,DISTANCE / MEASUREMENT /  COST
dynamic steering,steering,HANDLING / DYNAMICS
pulls,acceleration,POWERTRAIN / PERFORMANCE
economics,value / cost,DISTANCE / MEASUREMENT /  COST
towing capacity,performance,POWERTRAIN / PERFORMANCE
laser headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
a4 dual clutch,transmission,POWERTRAIN / PERFORMANCE
comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
bmw technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
c 250 d,model / generic car terms,GENERAL INFORMATION
drive at speed,acceleration,POWERTRAIN / PERFORMANCE
vehicle lowest setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
front end look,design,EMOTIONAL / SENSORY / VISUAL
sports exhaust,exhaust,POWERTRAIN / PERFORMANCE
window ledges,windows / glass,EXTERIOR / STYLING / DESIGN
carbon emission,fuel / energy / charging,POWERTRAIN / PERFORMANCE
old v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
drawer,storage & utility,FUNCTIONAL / UTILITY FEATURES
change,generic description & miscellaneous,GENERAL INFORMATION
display panel,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
carrying three adults,passenger space,INTERIOR / COMFORT / ERGONOMICS
bmw x5,model / generic car terms,GENERAL INFORMATION
seven speed gear box,transmission,POWERTRAIN / PERFORMANCE
moonroof,roof,EXTERIOR / STYLING / DESIGN
off road,road terrain,HANDLING / DYNAMICS
trunk space,passenger space,INTERIOR / COMFORT / ERGONOMICS
middle seat footroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
operating window,interior,INTERIOR / COMFORT / ERGONOMICS
rear trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
core,chassis / structural,STRUCTURAL
semi autonomous driving system,driver assistance,SAFETY
v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
video chip,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sport mode shift,transmission,POWERTRAIN / PERFORMANCE
displacement,engine / power train,POWERTRAIN / PERFORMANCE
center,interior,INTERIOR / COMFORT / ERGONOMICS
catches,keys & lock,SAFETY
mercedes badge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
load lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
runs,performance,POWERTRAIN / PERFORMANCE
head rest not put up,seats,INTERIOR / COMFORT / ERGONOMICS
rear quarters,passenger space,INTERIOR / COMFORT / ERGONOMICS
exterior color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
middle spot,passenger space,INTERIOR / COMFORT / ERGONOMICS
driving tech,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
automatic mode,driving dynamics / handling,HANDLING / DYNAMICS
side blades,side section,EXTERIOR / STYLING / DESIGN
driving on bumps,drive,POWERTRAIN / PERFORMANCE
power folding,engine / power train,POWERTRAIN / PERFORMANCE
ecosystem,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
gravel road,road terrain,HANDLING / DYNAMICS
voice activation system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
console layer,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
towing up,functionality & features,FUNCTIONAL / UTILITY FEATURES
ridge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
suspension,suspension,HANDLING / DYNAMICS
dump control,suspension,HANDLING / DYNAMICS
sport mode,driving dynamics / handling,HANDLING / DYNAMICS
name,generic description & miscellaneous,GENERAL INFORMATION
tire holding,wheels & tyres,HANDLING / DYNAMICS
child seat base,seats,INTERIOR / COMFORT / ERGONOMICS
autonomous driving system,driver assistance,SAFETY
indicator,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
latest generation,packages / trims / variants,GENERAL INFORMATION
carriage pull,functionality & features,FUNCTIONAL / UTILITY FEATURES
seat bench,seats,INTERIOR / COMFORT / ERGONOMICS
audi s a3,model / generic car terms,GENERAL INFORMATION
architecture,chassis / structural,STRUCTURAL
0 to 60 run,acceleration,POWERTRAIN / PERFORMANCE
trunk capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
diesel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
car settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
mid corner,cornering,HANDLING / DYNAMICS
steering wheel controls,steering,HANDLING / DYNAMICS
vents,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
automated tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
general layout,design,EMOTIONAL / SENSORY / VISUAL
ico mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
auto gearbox,transmission,POWERTRAIN / PERFORMANCE
performance advantage,performance,POWERTRAIN / PERFORMANCE
lift items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
cover,exterior materials & finish,EXTERIOR / STYLING / DESIGN
at speed,acceleration,POWERTRAIN / PERFORMANCE
suspension(sport),suspension,HANDLING / DYNAMICS
side pillars,chassis / structural,STRUCTURAL
aesthetics,design,EMOTIONAL / SENSORY / VISUAL
luxury spectrum,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
central seat,seats,INTERIOR / COMFORT / ERGONOMICS
lifting things,boot / cargo,FUNCTIONAL / UTILITY FEATURES
detailing,design,EMOTIONAL / SENSORY / VISUAL
wooden effect,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
rear suspension,suspension,HANDLING / DYNAMICS
agility switch,driving dynamics / handling,HANDLING / DYNAMICS
rs7,model / generic car terms,GENERAL INFORMATION
boot light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
haptic feedback,driving dynamics / handling,HANDLING / DYNAMICS
reversing camera,driver assistance,SAFETY
shifting,transmission,POWERTRAIN / PERFORMANCE
curves,design,EMOTIONAL / SENSORY / VISUAL
exhaust tips,exhaust,POWERTRAIN / PERFORMANCE
charging panel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
windows down,windows / glass,EXTERIOR / STYLING / DESIGN
q7,model / generic car terms,GENERAL INFORMATION
four cylinder engine,engine / power train,POWERTRAIN / PERFORMANCE
shopping bag hookers,storage & utility,FUNCTIONAL / UTILITY FEATURES
headroom (people over six foot),passenger space,INTERIOR / COMFORT / ERGONOMICS
boot shape,boot / cargo,FUNCTIONAL / UTILITY FEATURES
understeer,steering,HANDLING / DYNAMICS
engine brace,engine / power train,POWERTRAIN / PERFORMANCE
well being spoiled recreation thing,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
belt line,exterior materials & finish,EXTERIOR / STYLING / DESIGN
lobe,engine / power train,POWERTRAIN / PERFORMANCE
footstool,seats,INTERIOR / COMFORT / ERGONOMICS
virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sports package,packages / trims / variants,GENERAL INFORMATION
r8,model / generic car terms,GENERAL INFORMATION
cylinder,engine / power train,POWERTRAIN / PERFORMANCE
a7,model / generic car terms,GENERAL INFORMATION
front grill,grill,EXTERIOR / STYLING / DESIGN
views,visibility & view,SAFETY
drive train flooring,drive,POWERTRAIN / PERFORMANCE
exhaust clip,exhaust,POWERTRAIN / PERFORMANCE
slow road,road terrain,HANDLING / DYNAMICS
seat release,seats,INTERIOR / COMFORT / ERGONOMICS
acceleration from stop,acceleration,POWERTRAIN / PERFORMANCE
emergency service,road terrain,HANDLING / DYNAMICS
formula,performance,POWERTRAIN / PERFORMANCE
power seats,seats,INTERIOR / COMFORT / ERGONOMICS
touchscreen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
stripe,design,EMOTIONAL / SENSORY / VISUAL
dit,engine / power train,POWERTRAIN / PERFORMANCE
display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
electrification,fuel / energy / charging,POWERTRAIN / PERFORMANCE
charging sockets,fuel / energy / charging,POWERTRAIN / PERFORMANCE
basic five series,packages / trims / variants,GENERAL INFORMATION
base car,model / generic car terms,GENERAL INFORMATION
feeling,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
rear wheel,drive,POWERTRAIN / PERFORMANCE
petrol models,fuel / energy / charging,POWERTRAIN / PERFORMANCE
refinement,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
c 220,model / generic car terms,GENERAL INFORMATION
settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
rear view camera,visibility & view,SAFETY
individual setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
adjustability,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
places,passenger space,INTERIOR / COMFORT / ERGONOMICS
flat upshift,transmission,POWERTRAIN / PERFORMANCE
reclining,seats,INTERIOR / COMFORT / ERGONOMICS
front brakes,brake,HANDLING / DYNAMICS
generation,packages / trims / variants,GENERAL INFORMATION
nets,storage & utility,FUNCTIONAL / UTILITY FEATURES
throttle response,engine / power train,POWERTRAIN / PERFORMANCE
sea level,road terrain,HANDLING / DYNAMICS
fuel economy,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
adaptive dampers,suspension,HANDLING / DYNAMICS
sport mode suspension,suspension,HANDLING / DYNAMICS
machine,generic description & miscellaneous,GENERAL INFORMATION
graphics screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
seating,seats,INTERIOR / COMFORT / ERGONOMICS
built in sundress holder,storage & utility,FUNCTIONAL / UTILITY FEATURES
going fast,acceleration,POWERTRAIN / PERFORMANCE
gearbox,transmission,POWERTRAIN / PERFORMANCE
cargo floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
roll bars,traction / stability,HANDLING / DYNAMICS
kids,passenger space,INTERIOR / COMFORT / ERGONOMICS
back camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
distance driving,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
mercedes a class,model / generic car terms,GENERAL INFORMATION
dynamic package,packages / trims / variants,GENERAL INFORMATION
launch time,acceleration,POWERTRAIN / PERFORMANCE
shifter,transmission,POWERTRAIN / PERFORMANCE
bumps,road terrain,HANDLING / DYNAMICS
lettering feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
set buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
mix and match settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
new look,design,EMOTIONAL / SENSORY / VISUAL
pedal,physical controls,INTERIOR / COMFORT / ERGONOMICS
travel,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
front doors,doors,EXTERIOR / STYLING / DESIGN
s tronic,transmission,POWERTRAIN / PERFORMANCE
"bmw 3 40 i , drive",drive,POWERTRAIN / PERFORMANCE
500e,model / generic car terms,GENERAL INFORMATION
mercedes-benz gcl,model / generic car terms,GENERAL INFORMATION
corner,cornering,HANDLING / DYNAMICS
bmw two series,model / generic car terms,GENERAL INFORMATION
cup holder,storage & utility,FUNCTIONAL / UTILITY FEATURES
quattro,drive,POWERTRAIN / PERFORMANCE
sl s amg,model / generic car terms,GENERAL INFORMATION
trade off,value / cost,DISTANCE / MEASUREMENT /  COST
energy harvesting,fuel / energy / charging,POWERTRAIN / PERFORMANCE
i drive,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
three adults in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
mercedes-benz g . l . a,model / generic car terms,GENERAL INFORMATION
pickup range,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
glc,model / generic car terms,GENERAL INFORMATION
overall,generic description & miscellaneous,GENERAL INFORMATION
ventilated seat option,seats,INTERIOR / COMFORT / ERGONOMICS
rs three,model / generic car terms,GENERAL INFORMATION
steering weight,weight,DISTANCE / MEASUREMENT /  COST
traditional sedan,body type,EXTERIOR / STYLING / DESIGN
-,unknown,UNKNOWN
cutout design,design,EMOTIONAL / SENSORY / VISUAL
battery size,fuel / energy / charging,POWERTRAIN / PERFORMANCE
phone spot,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
positioning of steering wheel,steering,HANDLING / DYNAMICS
stitched button,physical controls,INTERIOR / COMFORT / ERGONOMICS
audi rs4,model / generic car terms,GENERAL INFORMATION
audi,model / generic car terms,GENERAL INFORMATION
putting gear,transmission,POWERTRAIN / PERFORMANCE
acoustic windscreen,windscreen / wipers,SAFETY
door bin back,storage & utility,FUNCTIONAL / UTILITY FEATURES
four wheel drive traction,drive,POWERTRAIN / PERFORMANCE
tech display,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
dynamic damper control,suspension,HANDLING / DYNAMICS
upgraded command system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
premium plus package,packages / trims / variants,GENERAL INFORMATION
sitting position,seats,INTERIOR / COMFORT / ERGONOMICS
appearance,design,EMOTIONAL / SENSORY / VISUAL
stunning,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
construction technique,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
exhausts,exhaust,POWERTRAIN / PERFORMANCE
s c car,model / generic car terms,GENERAL INFORMATION
get in and out -back,doors,EXTERIOR / STYLING / DESIGN
character,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1.6 litre petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
equipment,equipment,FUNCTIONAL / UTILITY FEATURES
material on the glove box,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
steering (sports),steering,HANDLING / DYNAMICS
gear selector,transmission,POWERTRAIN / PERFORMANCE
m6,model / generic car terms,GENERAL INFORMATION
19 inch wheels,wheels & tyres,HANDLING / DYNAMICS
a4 g5 seating,seats,INTERIOR / COMFORT / ERGONOMICS
force,performance,POWERTRAIN / PERFORMANCE
engine choice,engine / power train,POWERTRAIN / PERFORMANCE
engine mounts,engine / power train,POWERTRAIN / PERFORMANCE
image,design,EMOTIONAL / SENSORY / VISUAL
competition choices,generic description & miscellaneous,GENERAL INFORMATION
360 degree surround camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
tri color logo,exterior materials & finish,EXTERIOR / STYLING / DESIGN
wear,quality & durability,GENERAL INFORMATION
mercedes,model / generic car terms,GENERAL INFORMATION
mercedes s class coupe a8,model / generic car terms,GENERAL INFORMATION
proportions,design,EMOTIONAL / SENSORY / VISUAL
qualities,quality & durability,GENERAL INFORMATION
tt cornering,cornering,HANDLING / DYNAMICS
touch screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
get in back,doors,EXTERIOR / STYLING / DESIGN
engine choices,engine / power train,POWERTRAIN / PERFORMANCE
split gate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
place,passenger space,INTERIOR / COMFORT / ERGONOMICS
spend extra on adaptive suspension,value / cost,DISTANCE / MEASUREMENT /  COST
limit,performance,POWERTRAIN / PERFORMANCE
steering and lane controlled assistant,steering,HANDLING / DYNAMICS
cup holders,storage & utility,FUNCTIONAL / UTILITY FEATURES
normal comfort suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
instrument gearbox,transmission,POWERTRAIN / PERFORMANCE
safe,safety,SAFETY
gear changes,transmission,POWERTRAIN / PERFORMANCE
adaptive suspension,suspension,HANDLING / DYNAMICS
gear shift,transmission,POWERTRAIN / PERFORMANCE
trim (inside),interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
map view,visibility & view,SAFETY
seat pockets,storage & utility,FUNCTIONAL / UTILITY FEATURES
wing mirrors,mirrors,SAFETY
noise suppression,audio,EMOTIONAL / SENSORY / VISUAL
s5,model / generic car terms,GENERAL INFORMATION
bc imports,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
seat cover,seats,INTERIOR / COMFORT / ERGONOMICS
upshift,transmission,POWERTRAIN / PERFORMANCE
change direction,steering,HANDLING / DYNAMICS
anchor points,safety,SAFETY
sls,model / generic car terms,GENERAL INFORMATION
warning,safety,SAFETY
manoeuvring at low speed,steering,HANDLING / DYNAMICS
feet,passenger space,INTERIOR / COMFORT / ERGONOMICS
luxury items,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
magic sky roof,roof,EXTERIOR / STYLING / DESIGN
load bay,boot / cargo,FUNCTIONAL / UTILITY FEATURES
v 10 plus,model / generic car terms,GENERAL INFORMATION
boot opening,boot / cargo,FUNCTIONAL / UTILITY FEATURES
price tag,value / cost,DISTANCE / MEASUREMENT /  COST
tire,wheels & tyres,HANDLING / DYNAMICS
edition,packages / trims / variants,GENERAL INFORMATION
descent,road terrain,HANDLING / DYNAMICS
bmw 360 degree surround camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
fridge,storage & utility,FUNCTIONAL / UTILITY FEATURES
fold third row,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
bonnet opening,bonnet,EXTERIOR / STYLING / DESIGN
bigger bumps,road terrain,HANDLING / DYNAMICS
practicality,storage & utility,FUNCTIONAL / UTILITY FEATURES
ionic,fuel / energy / charging,POWERTRAIN / PERFORMANCE
climate controls action,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
noises,audio,EMOTIONAL / SENSORY / VISUAL
grab handle,doors,EXTERIOR / STYLING / DESIGN
dynamic handling package,driving dynamics / handling,HANDLING / DYNAMICS
electric engine,engine / power train,POWERTRAIN / PERFORMANCE
back seating,seats,INTERIOR / COMFORT / ERGONOMICS
styling cars,design,EMOTIONAL / SENSORY / VISUAL
audi tt,model / generic car terms,GENERAL INFORMATION
automatic engines start stop system,engine / power train,POWERTRAIN / PERFORMANCE
dirt road,road terrain,HANDLING / DYNAMICS
seats down,seats,INTERIOR / COMFORT / ERGONOMICS
packaging,generic description & miscellaneous,GENERAL INFORMATION
plugin hybrids,fuel / energy / charging,POWERTRAIN / PERFORMANCE
individual mode,driving dynamics / handling,HANDLING / DYNAMICS
base price,value / cost,DISTANCE / MEASUREMENT /  COST
backseat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
performed,performance,POWERTRAIN / PERFORMANCE
hood vent,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
torque rating,engine / power train,POWERTRAIN / PERFORMANCE
delay,performance,POWERTRAIN / PERFORMANCE
bmw m6,model / generic car terms,GENERAL INFORMATION
